"ID","Sector","Start_Time","Closest_Time","End_Time","ConflictType","Severity","VerticalSeverity","LateralConflictType","VerticalConflictType","VerticalSeparation","ReqVerticalSeparation","LateralSeparation","ReqLateralSeparation","Altitude_ft","FlightPlanPhase1","FlightPlanPhase2","Longitude","Latitude","Scenario"
"REAL_CTN1W_TDR811_1","TMA_ZAGREB","04:54:32","04:55:16","04:55:16","CrossingBothInVertical","0","3","Crossing","BothInVertical",955,1000,7.9,5,7299,"EnRoute","ApproachLeg",16.1153827777778,45.5915286111111,"Current"
"REAL_CTN341_CTN5H_1","TMA_ZAGREB","05:02:42","05:02:56","05:03:50","CrossingOneInVertical","2","3","Crossing","OneInVertical",739,1000,5.1,5,3291,"ApproachLeg","ApproachLeg",15.8836697222222,45.6062263888889,"Current"
"REAL_HAKAR_CTN1W_1","TMA_SPLIT","05:22:52","05:22:56","05:22:56","OppositeBothInVertical","0","3","Opposite","BothInVertical",899,1000,9.6,5,3176,"Sid","FinalApproach",16.2129761111111,43.5092105555556,"Current"
"REAL_CTN3T#2_GSW2988_1","TMA_ZADAR","05:28:04","05:28:40","05:28:40","CrossingBothInVertical","1","3","Crossing","BothInVertical",917,1000,6.2,5,4956,"EnRoute","ApproachLeg",15.1993375,44.2475033333333,"Current"
"REAL_CTN3T#2_THY36J_1","TMA_ZAGREB","05:45:52","05:46:12","05:46:12","CrossingBothInVertical","0","3","Crossing","BothInVertical",979,1000,7.8,5,4587,"ApproachLeg","ApproachLeg",15.8178152777778,45.5489363888889,"Current"
"REAL_CTN3T#2_THY36J_2","TMA_ZAGREB","05:47:24","05:48:16","05:48:56","SameTrackOneInVertical","3","4","SameTrack","OneInVertical",420,1000,4.5,5,2790,"ApproachLeg","ApproachLeg",15.8947466666667,45.6278183333333,"Current"
"REAL_CTN3T#2_CTN6D_1","CTR_ZAGREB","05:50:58","05:51:02","05:51:02","SameTrackBothInVertical","1","3","SameTrack","BothInVertical",982,1000,6.8,5,2509,"ApproachLeg","ApproachLeg",15.9093952777778,45.6370186111111,"Current"
"REAL_VOE22RX_IBK5690_1","ACC_ZAGREB","05:57:22","06:01:02","06:03:30","SameTrackBothInVertical","5","6","SameTrack","BothInVertical",3,1000,0.4,5,27101,"ApproachLeg","ApproachLeg",16.1286461111111,42.5124333333333,"Current"
"REAL_RWZ535_LOT8242_1","OUTSIDE_FIR_N","06:29:22","06:29:22","06:29:34","CrossingBothInVertical","1","3","Crossing","BothInVertical",853,1000,7.4,5,27080,"EnRoute","EnRoute",14.5901605555556,46.004505,"Current"
"REAL_JAF37D_EWG45J_1","ACC_ZAGREB","06:34:20","06:34:24","06:34:24","OppositeOneInVertical","0","3","Opposite","OneInVertical",969,1000,9,5,35484,"EnRoute","EnRoute",14.3455330555556,44.6066333333333,"Current"
"REAL_CTN438P_EZY43FU_1","TMA_SPLIT","06:35:58","06:36:28","06:36:28","OppositeBothInVertical","3","3","Opposite","BothInVertical",953,1000,4.6,5,18986,"EnRoute","ApproachLeg",15.8917358333333,44.0134763888889,"Current"
"REAL_S5DMA#2_ASL55Q_1","OUTSIDE_FIR_N","06:42:50","06:43:54","06:44:00","CrossingBothInVertical","3","3","Crossing","BothInVertical",838,1000,4.3,5,1892,"EnRoute","EnRoute",14.5212769444444,46.1771361111111,"Current"
"REAL_AUA682_CTN5NL_1","TMA_ZAGREB","06:50:38","06:52:06","06:52:06","SameTrackBothInVertical","2","3","SameTrack","BothInVertical",950,1000,5.5,5,11516,"Sid","Sid",16.2134688888889,46.0166208333333,"Current"
"REAL_JAF37D_EZS38CE_1","TMA_SPLIT","06:53:22","06:53:40","06:53:40","CrossingBothInVertical","0","3","Crossing","BothInVertical",892,1000,9.6,5,7285,"EnRoute","Sid",16.4558733333333,43.3885527777778,"Current"
"REAL_EZY84ER_EWG2CT_1","TMA_ZADAR","06:57:20","06:57:20","06:57:20","OppositeBothInVertical","0","3","Opposite","BothInVertical",899,1000,9.8,5,6245,"ApproachLeg","EnRoute",15.1355472222222,44.2749961111111,"Current"
"REAL_THY4JR_FIN8KC_1","OUTSIDE_FIR_E","07:02:26","07:02:26","07:02:34","OppositeBothInVertical","0","3","Opposite","BothInVertical",907,1000,8,5,24416,"EnRoute","EnRoute",18.9507338888889,42.9105625,"Current"
