"Sector","FlightPlanPhases","Count","Scenario"
"TMA_SPLIT","Approach Leg and En Route",3,"Current"
"CTR_ZAGREB","Approach Leg and Final Approach",1,"Current"
"CTR_DUBROVNIK","Both Final Approach",2,"Current"
"ACC_ZAGREB","Both En Route",28,"Current"
"CTR_LOSINJ","Approach Leg and Sid",2,"Current"
"CTR_DUBROVNIK","Final Approach and Sid",2,"Current"
"CTR_PULA","En Route and Holding",1,"Current"
"CTR_PULA","Approach Leg and Sid",9,"Current"
"CTR_DUBROVNIK","Both Approach Leg",8,"Current"
"OUTSIDE_FIR_N","Both En Route",22,"Current"
"CTR_DUBROVNIK","Approach Leg and Final Approach",3,"Current"
"TMA_ZADAR","Approach Leg and Sid",2,"Current"
"TMA_DUBROVNIK","Both En Route",1,"Current"
"TMA_DUBROVNIK","Approach Leg and Sid",2,"Current"
"CTR_PULA","Approach Leg and Holding",1,"Current"
"CTR_ZADAR","Approach Leg and Sid",1,"Current"
"TMA_SPLIT","Approach Leg and Sid",6,"Current"
"TMA_ZAGREB","Both En Route",4,"Current"
"TMA_DUBROVNIK","En Route and Sid",1,"Current"
"ACC_ZAGREB","En Route and Sid",3,"Current"
"CTR_SPLIT","En Route and Final Approach",1,"Current"
"TMA_ZADAR","En Route and Final Approach",1,"Current"
"TMA_ZADAR","Both Approach Leg",1,"Current"
"CTR_BRAC","Both Sid",1,"Current"
"TMA_ZADAR","Approach Leg and En Route",3,"Current"
"TMA_SPLIT","Final Approach and Sid",5,"Current"
"CTR_PULA","Approach Leg and En Route",1,"Current"
"OUTSIDE_FIR_E","Both En Route",2,"Current"
"TMA_PULA","Approach Leg and En Route",6,"Current"
"TMA_ZAGREB","Both Approach Leg",9,"Current"
"CTR_DUBROVNIK","Approach Leg and Sid",23,"Current"
"TMA_DUBROVNIK","Approach Leg and En Route",4,"Current"
"CTR_DUBROVNIK","En Route and Sid",1,"Current"
"OUTSIDE_FIR_W","Both En Route",2,"Current"
"TMA_ZAGREB","Approach Leg and Sid",4,"Current"
"TMA_DUBROVNIK","Both Approach Leg",9,"Current"
"CTR_ZAGREB","Final Approach and Sid",3,"Current"
"TMA_SPLIT","En Route and Sid",13,"Current"
"TMA_SPLIT","Both En Route",2,"Current"
"TMA_SPLIT","Both Approach Leg",2,"Current"
"CTR_SPLIT","Both Final Approach",1,"Current"
"CTR_ZADAR","Approach Leg and Final Approach",1,"Current"
"CTR_SPLIT","En Route and Sid",1,"Current"
"CTR_RIJEKA","Both Sid",2,"Current"
"CTR_BRAC","Both Approach Leg",1,"Current"
"CTR_DUBROVNIK","Both Sid",2,"Current"
"TMA_ZAGREB","En Route and Sid",2,"Current"
"FIC_ZAGREB","Both En Route",2,"Current"
"TMA_SPLIT","En Route and Final Approach",1,"Current"
"TMA_PULA","En Route and Sid",5,"Current"
"CTR_ZAGREB","Approach Leg and Sid",4,"Current"
"TMA_ZADAR","Both En Route",4,"Current"
"TMA_PULA","Both Sid",1,"Current"
"TMA_ZAGREB","Approach Leg and En Route",1,"Current"
"TMA_PULA","Approach Leg and Sid",2,"Current"
"ACC_ZAGREB","Approach Leg and En Route",4,"Current"
"CTR_ZADAR","Both Sid",1,"Current"
"CTR_ZADAR","Final Approach and Sid",2,"Current"
"TMA_ZAGREB","Both Sid",5,"Current"
"OUTSIDE_FIR_N","En Route and Sid",1,"Current"
"CTR_PULA","En Route and Sid",2,"Current"
"TMA_PULA","Both En Route",7,"Current"
"TMA_SPLIT","Approach Leg and En Route",3,"PBN"
"CTR_ZAGREB","Approach Leg and Final Approach",1,"PBN"
"CTR_DUBROVNIK","Both Final Approach",2,"PBN"
"ACC_ZAGREB","Both En Route",28,"PBN"
"CTR_LOSINJ","Approach Leg and Sid",2,"PBN"
"CTR_DUBROVNIK","Final Approach and Sid",2,"PBN"
"CTR_PULA","En Route and Holding",1,"PBN"
"CTR_PULA","Approach Leg and Sid",9,"PBN"
"CTR_DUBROVNIK","Both Approach Leg",8,"PBN"
"OUTSIDE_FIR_N","Both En Route",22,"PBN"
"CTR_DUBROVNIK","Approach Leg and Final Approach",3,"PBN"
"TMA_ZADAR","Approach Leg and Sid",2,"PBN"
"TMA_DUBROVNIK","Both En Route",1,"PBN"
"TMA_DUBROVNIK","Approach Leg and Sid",2,"PBN"
"CTR_PULA","Approach Leg and Holding",1,"PBN"
"CTR_ZADAR","Approach Leg and Sid",1,"PBN"
"TMA_SPLIT","Approach Leg and Sid",6,"PBN"
"TMA_ZAGREB","Both En Route",4,"PBN"
"TMA_DUBROVNIK","En Route and Sid",1,"PBN"
"ACC_ZAGREB","En Route and Sid",3,"PBN"
"CTR_SPLIT","En Route and Final Approach",1,"PBN"
"TMA_ZADAR","En Route and Final Approach",1,"PBN"
"TMA_ZADAR","Both Approach Leg",1,"PBN"
"CTR_BRAC","Both Sid",1,"PBN"
"TMA_ZADAR","Approach Leg and En Route",3,"PBN"
"TMA_SPLIT","Final Approach and Sid",5,"PBN"
"CTR_PULA","Approach Leg and En Route",1,"PBN"
"OUTSIDE_FIR_E","Both En Route",2,"PBN"
"TMA_PULA","Approach Leg and En Route",6,"PBN"
"TMA_ZAGREB","Both Approach Leg",9,"PBN"
"CTR_DUBROVNIK","Approach Leg and Sid",23,"PBN"
"TMA_DUBROVNIK","Approach Leg and En Route",4,"PBN"
"CTR_DUBROVNIK","En Route and Sid",1,"PBN"
"OUTSIDE_FIR_W","Both En Route",2,"PBN"
"TMA_ZAGREB","Approach Leg and Sid",4,"PBN"
"TMA_DUBROVNIK","Both Approach Leg",9,"PBN"
"CTR_ZAGREB","Final Approach and Sid",3,"PBN"
"TMA_SPLIT","En Route and Sid",13,"PBN"
"TMA_SPLIT","Both En Route",2,"PBN"
"TMA_SPLIT","Both Approach Leg",2,"PBN"
"CTR_SPLIT","Both Final Approach",1,"PBN"
"CTR_ZADAR","Approach Leg and Final Approach",1,"PBN"
"CTR_SPLIT","En Route and Sid",1,"PBN"
"CTR_RIJEKA","Both Sid",2,"PBN"
"CTR_BRAC","Both Approach Leg",1,"PBN"
"CTR_DUBROVNIK","Both Sid",2,"PBN"
"TMA_ZAGREB","En Route and Sid",2,"PBN"
"FIC_ZAGREB","Both En Route",2,"PBN"
"TMA_SPLIT","En Route and Final Approach",1,"PBN"
"TMA_PULA","En Route and Sid",5,"PBN"
"CTR_ZAGREB","Approach Leg and Sid",4,"PBN"
"TMA_ZADAR","Both En Route",4,"PBN"
"TMA_PULA","Both Sid",1,"PBN"
"TMA_ZAGREB","Approach Leg and En Route",1,"PBN"
"TMA_PULA","Approach Leg and Sid",2,"PBN"
"ACC_ZAGREB","Approach Leg and En Route",4,"PBN"
"CTR_ZADAR","Both Sid",1,"PBN"
"CTR_ZADAR","Final Approach and Sid",2,"PBN"
"TMA_ZAGREB","Both Sid",5,"PBN"
"OUTSIDE_FIR_N","En Route and Sid",1,"PBN"
"CTR_PULA","En Route and Sid",2,"PBN"
"TMA_PULA","Both En Route",7,"PBN"
"All Sectors","Both Approach Leg",30,"Current"
"All Sectors","Approach Leg and En Route",22,"Current"
"All Sectors","Approach Leg and Final Approach",5,"Current"
"All Sectors","Approach Leg and Holding",1,"Current"
"All Sectors","Approach Leg and Sid",55,"Current"
"All Sectors","Both En Route",74,"Current"
"All Sectors","En Route and Final Approach",3,"Current"
"All Sectors","En Route and Holding",1,"Current"
"All Sectors","En Route and Sid",29,"Current"
"All Sectors","Both Final Approach",3,"Current"
"All Sectors","Final Approach and Sid",12,"Current"
