"Sector","Count","FlightTypes","Scenario","Runway","Run"
"ACC_ZAGREB",39,"Both IFR","Current","1","1"
"ACC_ZAGREB",33,"Both IFR","Current","1","2"
"ACC_ZAGREB",37,"Both IFR","Current","1","3"
"ACC_ZAGREB",38,"Both IFR","Current","1","4"
"ACC_ZAGREB",24,"Both IFR","Current","1","5"
"ACC_ZAGREB",60,"Both IFR","Current","2","1"
"ACC_ZAGREB",56,"Both IFR","Current","2","2"
"ACC_ZAGREB",59,"Both IFR","Current","2","3"
"ACC_ZAGREB",59,"Both IFR","Current","2","4"
"ACC_ZAGREB",55,"Both IFR","Current","2","5"
"ACC_ZAGREB",37,"Both IFR","PBN","1","1"
"ACC_ZAGREB",40,"Both IFR","PBN","1","2"
"ACC_ZAGREB",25,"Both IFR","PBN","1","3"
"ACC_ZAGREB",26,"Both IFR","PBN","1","4"
"ACC_ZAGREB",36,"Both IFR","PBN","1","5"
"ACC_ZAGREB",40,"Both IFR","PBN","2","1"
"ACC_ZAGREB",41,"Both IFR","PBN","2","2"
"ACC_ZAGREB",38,"Both IFR","PBN","2","3"
"ACC_ZAGREB",29,"Both IFR","PBN","2","4"
"ACC_ZAGREB",40,"Both IFR","PBN","2","5"
"ACC_ZAGREB",2,"IFR & VFR","Current","2","1"
"CTR_BRAC",2,"Both VFR","Current","1","3"
"CTR_BRAC",1,"Both VFR","Current","2","2"
"CTR_BRAC",1,"Both VFR","PBN","1","3"
"CTR_BRAC",1,"Both VFR","PBN","1","5"
"CTR_BRAC",2,"Both VFR","PBN","2","1"
"CTR_BRAC",1,"Both VFR","PBN","2","2"
"CTR_BRAC",2,"IFR & VFR","Current","1","1"
"CTR_BRAC",1,"IFR & VFR","Current","1","2"
"CTR_BRAC",3,"IFR & VFR","Current","1","3"
"CTR_BRAC",1,"IFR & VFR","Current","1","4"
"CTR_BRAC",2,"IFR & VFR","Current","1","5"
"CTR_BRAC",2,"IFR & VFR","Current","2","4"
"CTR_BRAC",3,"IFR & VFR","Current","2","5"
"CTR_BRAC",3,"IFR & VFR","PBN","1","2"
"CTR_BRAC",2,"IFR & VFR","PBN","1","4"
"CTR_BRAC",2,"IFR & VFR","PBN","1","5"
"CTR_BRAC",1,"IFR & VFR","PBN","2","2"
"CTR_BRAC",3,"IFR & VFR","PBN","2","3"
"CTR_BRAC",2,"IFR & VFR","PBN","2","4"
"CTR_BRAC",2,"IFR & VFR","PBN","2","5"
"CTR_DUBROVNIK",1,"Both IFR","Current","1","1"
"CTR_DUBROVNIK",1,"Both IFR","Current","2","1"
"CTR_DUBROVNIK",1,"Both IFR","Current","2","2"
"CTR_DUBROVNIK",1,"Both IFR","Current","2","3"
"CTR_DUBROVNIK",3,"Both VFR","Current","1","1"
"CTR_DUBROVNIK",4,"Both VFR","Current","1","2"
"CTR_DUBROVNIK",2,"Both VFR","Current","1","3"
"CTR_DUBROVNIK",1,"Both VFR","Current","1","4"
"CTR_DUBROVNIK",4,"Both VFR","Current","1","5"
"CTR_DUBROVNIK",1,"Both VFR","Current","2","1"
"CTR_DUBROVNIK",2,"Both VFR","Current","2","3"
"CTR_DUBROVNIK",3,"Both VFR","Current","2","5"
"CTR_DUBROVNIK",3,"Both VFR","PBN","1","1"
"CTR_DUBROVNIK",4,"Both VFR","PBN","1","2"
"CTR_DUBROVNIK",2,"Both VFR","PBN","1","3"
"CTR_DUBROVNIK",1,"Both VFR","PBN","1","4"
"CTR_DUBROVNIK",3,"Both VFR","PBN","1","5"
"CTR_DUBROVNIK",1,"Both VFR","PBN","2","2"
"CTR_DUBROVNIK",2,"Both VFR","PBN","2","4"
"CTR_DUBROVNIK",1,"Both VFR","PBN","2","5"
"CTR_DUBROVNIK",27,"IFR & VFR","Current","1","1"
"CTR_DUBROVNIK",29,"IFR & VFR","Current","1","2"
"CTR_DUBROVNIK",35,"IFR & VFR","Current","1","3"
"CTR_DUBROVNIK",28,"IFR & VFR","Current","1","4"
"CTR_DUBROVNIK",22,"IFR & VFR","Current","1","5"
"CTR_DUBROVNIK",20,"IFR & VFR","Current","2","1"
"CTR_DUBROVNIK",19,"IFR & VFR","Current","2","2"
"CTR_DUBROVNIK",22,"IFR & VFR","Current","2","3"
"CTR_DUBROVNIK",25,"IFR & VFR","Current","2","4"
"CTR_DUBROVNIK",16,"IFR & VFR","Current","2","5"
"CTR_DUBROVNIK",18,"IFR & VFR","PBN","1","1"
"CTR_DUBROVNIK",26,"IFR & VFR","PBN","1","2"
"CTR_DUBROVNIK",15,"IFR & VFR","PBN","1","3"
"CTR_DUBROVNIK",33,"IFR & VFR","PBN","1","4"
"CTR_DUBROVNIK",37,"IFR & VFR","PBN","1","5"
"CTR_DUBROVNIK",11,"IFR & VFR","PBN","2","1"
"CTR_DUBROVNIK",17,"IFR & VFR","PBN","2","2"
"CTR_DUBROVNIK",11,"IFR & VFR","PBN","2","3"
"CTR_DUBROVNIK",6,"IFR & VFR","PBN","2","4"
"CTR_DUBROVNIK",15,"IFR & VFR","PBN","2","5"
"CTR_LOSINJ",1,"Both VFR","Current","1","1"
"CTR_LOSINJ",1,"Both VFR","Current","1","2"
"CTR_LOSINJ",1,"Both VFR","Current","1","5"
"CTR_LOSINJ",1,"Both VFR","Current","2","5"
"CTR_LOSINJ",2,"Both VFR","PBN","2","1"
"CTR_LOSINJ",1,"Both VFR","PBN","2","3"
"CTR_LOSINJ",2,"Both VFR","PBN","2","4"
"CTR_LOSINJ",2,"IFR & VFR","Current","1","1"
"CTR_LOSINJ",2,"IFR & VFR","Current","1","4"
"CTR_LOSINJ",1,"IFR & VFR","Current","2","2"
"CTR_LOSINJ",1,"IFR & VFR","PBN","1","5"
"CTR_LOSINJ",1,"IFR & VFR","PBN","2","4"
"CTR_PULA",1,"Both IFR","Current","1","2"
"CTR_PULA",2,"Both IFR","Current","1","4"
"CTR_PULA",1,"Both IFR","Current","1","5"
"CTR_PULA",1,"Both IFR","Current","2","3"
"CTR_PULA",2,"Both IFR","Current","2","5"
"CTR_PULA",1,"Both IFR","PBN","1","1"
"CTR_PULA",1,"Both IFR","PBN","2","1"
"CTR_PULA",3,"Both VFR","Current","1","1"
"CTR_PULA",1,"Both VFR","Current","1","2"
"CTR_PULA",4,"Both VFR","Current","1","3"
"CTR_PULA",2,"Both VFR","Current","1","4"
"CTR_PULA",3,"Both VFR","Current","1","5"
"CTR_PULA",1,"Both VFR","Current","2","3"
"CTR_PULA",2,"Both VFR","PBN","1","1"
"CTR_PULA",4,"Both VFR","PBN","1","2"
"CTR_PULA",2,"Both VFR","PBN","1","4"
"CTR_PULA",4,"Both VFR","PBN","1","5"
"CTR_PULA",25,"IFR & VFR","Current","1","1"
"CTR_PULA",16,"IFR & VFR","Current","1","2"
"CTR_PULA",19,"IFR & VFR","Current","1","3"
"CTR_PULA",31,"IFR & VFR","Current","1","4"
"CTR_PULA",17,"IFR & VFR","Current","1","5"
"CTR_PULA",9,"IFR & VFR","Current","2","1"
"CTR_PULA",4,"IFR & VFR","Current","2","2"
"CTR_PULA",8,"IFR & VFR","Current","2","3"
"CTR_PULA",6,"IFR & VFR","Current","2","4"
"CTR_PULA",4,"IFR & VFR","Current","2","5"
"CTR_PULA",24,"IFR & VFR","PBN","1","1"
"CTR_PULA",24,"IFR & VFR","PBN","1","2"
"CTR_PULA",17,"IFR & VFR","PBN","1","3"
"CTR_PULA",18,"IFR & VFR","PBN","1","4"
"CTR_PULA",12,"IFR & VFR","PBN","1","5"
"CTR_PULA",12,"IFR & VFR","PBN","2","1"
"CTR_PULA",4,"IFR & VFR","PBN","2","2"
"CTR_PULA",5,"IFR & VFR","PBN","2","3"
"CTR_PULA",8,"IFR & VFR","PBN","2","4"
