"Airport","Scenario","RoutingType","Waypoint","FuelBurn"
"LDDU","Current","Arrival","AIOSA",353.52
"LDSP","Current","Arrival","AIOSA",631.47
"LDZA","Current","Arrival","AIOSA",287.58
"LDZD","Current","Arrival","AIOSA",1802.57
"LDDU","PBN","Arrival","AIOSA",353.52
"LDSP","PBN","Arrival","AIOSA",631.47
"LDZA","PBN","Arrival","AIOSA",287.58
"LDZD","PBN","Arrival","AIOSA",1802.57
"LDDU","Current","Departure","AIOSA",1312.15
"LDDU","PBN","Departure","AIOSA",1312.15
"LDDU","Current","Arrival","ALIVO",103.98
"LDDU","PBN","Arrival","ALIVO",103.98
"LDDU","Current","Departure","ALIVO",2182.25
"LDPL","Current","Departure","ALIVO",6981.24
"LDRI","Current","Departure","ALIVO",10060.82
"LDSP","Current","Departure","ALIVO",3626.82
"LDDU","PBN","Departure","ALIVO",2182.25
"LDPL","PBN","Departure","ALIVO",6981.24
"LDRI","PBN","Departure","ALIVO",10060.82
"LDSP","PBN","Departure","ALIVO",3626.82
"LDZA","Current","Arrival","ARGOM",4760.55
"LDZA","PBN","Arrival","ARGOM",4760.55
"LDDU","Current","Arrival","ARMIX",1085
"LDRI","Current","Arrival","ARMIX",1689.85
"LDSP","Current","Arrival","ARMIX",1198.03
"LDDU","PBN","Arrival","ARMIX",1085
"LDRI","PBN","Arrival","ARMIX",1689.85
"LDSP","PBN","Arrival","ARMIX",1198.03
"LDDU","Current","Arrival","BAREB",1724.82
"LDSP","Current","Arrival","BAREB",1020.57
"LDDU","PBN","Arrival","BAREB",1724.82
"LDSP","PBN","Arrival","BAREB",1020.57
"LDDU","Current","Departure","BAXON",6510.18
"LDSP","Current","Departure","BAXON",11439.2
"LDDU","PBN","Departure","BAXON",6510.18
"LDSP","PBN","Departure","BAXON",11439.2
"LDDU","Current","Arrival","BUSET",5731.73
"LDSP","Current","Arrival","BUSET",1626.34
"LDZD","Current","Arrival","BUSET",1554.57
"LDDU","PBN","Arrival","BUSET",5731.73
"LDSP","PBN","Arrival","BUSET",1626.34
"LDZD","PBN","Arrival","BUSET",1554.57
"LDDU","Current","Departure","BUSET",2436.05
"LDSP","Current","Departure","BUSET",9777.3
"LDZD","Current","Departure","BUSET",8259.21
"LDDU","PBN","Departure","BUSET",2436.05
"LDSP","PBN","Departure","BUSET",9777.3
"LDZD","PBN","Departure","BUSET",8259.21
"LDDU","Current","Arrival","DARZA",1221.38
"LDSB","Current","Arrival","DARZA",523.67
"LDSP","Current","Arrival","DARZA",11824.68
"LDZD","Current","Arrival","DARZA",941.04
"LDDU","PBN","Arrival","DARZA",1221.38
"LDSB","PBN","Arrival","DARZA",523.67
"LDSP","PBN","Arrival","DARZA",11824.68
"LDZD","PBN","Arrival","DARZA",941.04
"LDDU","Current","Departure","DARZA",16184.54
"LDSP","Current","Departure","DARZA",5925.5
"LDZD","Current","Departure","DARZA",1405.62
"LDDU","PBN","Departure","DARZA",16184.54
"LDSP","PBN","Departure","DARZA",5925.5
"LDZD","PBN","Departure","DARZA",1405.62
"LDDU","Current","Departure","EDUGI",2380.18
"LDDU","PBN","Departure","EDUGI",2380.18
"LDZD","Current","Arrival","GEMKA",1313.63
"LDZD","PBN","Arrival","GEMKA",1313.63
"LDSB","Current","Departure","GEMKA",744.98
"LDSB","PBN","Departure","GEMKA",744.98
"LDZD","Current","Arrival","GIRDA",2240.42
"LDZD","PBN","Arrival","GIRDA",2240.42
"LDPL","Current","Departure","GIRDA",16209.69
"LDZD","Current","Departure","GIRDA",1717.77
"LDPL","PBN","Departure","GIRDA",16209.69
"LDZD","PBN","Departure","GIRDA",1717.77
"LDDU","Current","Arrival","KATTI",5329.77
"LDDU","PBN","Arrival","KATTI",5329.77
"LDDU","Current","Departure","KATTI",12716.6
"LDDU","PBN","Departure","KATTI",12716.6
"LDDU","Current","Arrival","KOPRY",1874.37
"LDPL","Current","Arrival","KOPRY",2205.19
"LDSB","Current","Arrival","KOPRY",512.13
"LDSP","Current","Arrival","KOPRY",17816.7
"LDZA","Current","Arrival","KOPRY",1580
"LDZD","Current","Arrival","KOPRY",606.7
"LDDU","PBN","Arrival","KOPRY",1874.37
"LDPL","PBN","Arrival","KOPRY",2205.19
"LDSB","PBN","Arrival","KOPRY",512.13
"LDSP","PBN","Arrival","KOPRY",17816.7
"LDZA","PBN","Arrival","KOPRY",1580
"LDZD","PBN","Arrival","KOPRY",606.7
"LDPL","Current","Departure","KOPRY",2118.67
"LDRI","Current","Departure","KOPRY",440.07
"LDZA","Current","Departure","KOPRY",3890.83
"LDPL","PBN","Departure","KOPRY",2118.67
"LDRI","PBN","Departure","KOPRY",440.07
"LDZA","PBN","Departure","KOPRY",3890.83
"LDDU","Current","Arrival","LABIN",10459.11
"LDSB","Current","Arrival","LABIN",751.1
"LDSP","Current","Arrival","LABIN",8159.2
"LDZA","Current","Arrival","LABIN",1683.97
"LDZD","Current","Arrival","LABIN",1831.24
"LDDU","PBN","Arrival","LABIN",10459.11
"LDSB","PBN","Arrival","LABIN",751.1
"LDSP","PBN","Arrival","LABIN",8159.2
"LDZA","PBN","Arrival","LABIN",1683.97
"LDZD","PBN","Arrival","LABIN",1831.24
"LDDU","Current","Departure","LABIN",4709.21
"LDRI","Current","Departure","LABIN",189.05
"LDDU","PBN","Departure","LABIN",4709.21
"LDRI","PBN","Departure","LABIN",189.05
"LDZA","Current","Departure","LAKIK",969.24
"LDZA","PBN","Departure","LAKIK",969.24
"LDZA","Current","Arrival","LDDU",6712.19
"LDZA","PBN","Arrival","LDDU",6712.19
"LDSP","Current","Departure","LDDU",931.57
"LDZA","Current","Departure","LDDU",5137.5
"LDZD","Current","Departure","LDDU",455.83
"LDSP","PBN","Departure","LDDU",931.57
"LDZA","PBN","Departure","LDDU",5137.5
"LDZD","PBN","Departure","LDDU",455.83
"LDZA","Current","Arrival","LDLO",138.62
"LDZA","PBN","Arrival","LDLO",138.62
"LDZA","Current","Departure","LDLO",144.63
"LDZA","PBN","Departure","LDLO",144.63
"LDPL","Current","Arrival","LDOS",414.78
"LDSP","Current","Arrival","LDOS",766.68
"LDZA","Current","Arrival","LDOS",506.88
"LDPL","PBN","Arrival","LDOS",414.78
"LDSP","PBN","Arrival","LDOS",766.68
"LDZA","PBN","Arrival","LDOS",506.88
"LDPL","Current","Departure","LDOS",378.3
"LDSP","Current","Departure","LDOS",736.57
"LDZA","Current","Departure","LDOS",460.95
"LDPL","PBN","Departure","LDOS",378.3
"LDSP","PBN","Departure","LDOS",736.57
"LDZA","PBN","Departure","LDOS",460.95
"LDOS","Current","Arrival","LDPL",378.3
"LDZD","Current","Arrival","LDPL",357.18
"LDOS","PBN","Arrival","LDPL",378.3
"LDZD","PBN","Arrival","LDPL",357.18
"LDOS","Current","Departure","LDPL",414.78
"LDSP","Current","Departure","LDPL",275.08
"LDZD","Current","Departure","LDPL",376.05
"LDOS","PBN","Departure","LDPL",414.78
"LDSP","PBN","Departure","LDPL",275.08
"LDZD","PBN","Departure","LDPL",376.05
"LDZA","Current","Arrival","LDSB",636.32
"LDZA","PBN","Arrival","LDSB",636.32
"LDZA","Current","Departure","LDSB",502.83
"LDZD","Current","Departure","LDSB",355.12
"LDZA","PBN","Departure","LDSB",502.83
"LDZD","PBN","Departure","LDSB",355.12
"LDDU","Current","Arrival","LDSP",931.57
"LDOS","Current","Arrival","LDSP",736.57
