"Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","RoutingType","Scenario","Runway","Waypoint","Airport"
"CSA6791","LDRI","LZKZ",433.05,165.3,"AT45(MEDIUM)","Departure","Current","1","KOPRY","LDRI"
"CSA7826","LKMT","LDSP",575.88,222.89999,"AT75(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"VLG127G","LEBL","LDZD",471.72,166.3,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"QTR3QJ","OTHH","LDZA",824.98,235.5,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.E","LDZA"
"EZY59WT","LIMC","LDSP",813.53,225.7,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"EWG9RB","EDDS","LDSP",746.62,211.7,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"EZS69DH","LFSB","LDSP",896.4,211.60001,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"CTN341","LQSA","LDZA",703.83,171.7,"DH8D(MEDIUM)","Arrival","Current","1","LQSA","LDZA"
"THY3RA","LTBA","LDDU",224.78,102.8,"A320(MEDIUM)","Arrival","Current","1","MOKUN","LDDU"
"BUC8651","LICC","LDZD",1089.65,233.8,"MD82(MEDIUM)","Arrival","Current","1","AIOSA","LDZD"
"LOT8241","EETN","LDRI",138.13,84.6,"CRJ9(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"EWG6VH","EDDT","LDZD",424.9,154.2,"A320(MEDIUM)","Arrival","Current","1","SABAD","LDZD"
"VLG7723","LEBL","LDDU",523.87,168.7,"A320(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"DLH8LA","LDZA","EDDF",750.22,81.1,"CRJ9(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"GSW2988","LSZH","LDZD",508.95,167.7,"A319(MEDIUM)","Arrival","Current","1","PEVAL","LDZD"
"CTN4436","LDZA","EDDM",514.53,114.2,"DH8D(MEDIUM)","Departure","Current","1","PODET","LDZA"
"AUA681V","LOWW","LDZA",341.92,111.5,"DH8D(MEDIUM)","Arrival","Current","1","KOPRY","LDZA"
"CSA819","LDZA","LKPR",303.67,81.4,"AT75(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"SRK2AM","LSZB","LDZD",318.88,166.3,"SB20(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"EZY71WB","LFPG","LDSP",777.38,225.7,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDSP"
"SAS2835","EKCH","LDPL",425.78,183.39999,"CRJ9(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"N8181Y#2","LDRI","LFMV",58.8,129.3,"C402(MEDIUM)","Departure","Current","1","LABIN","LDRI"
"EWG9PR","EDDS","LDZD",612.22,161.39999,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDZD"
"TJS91","LOWI","LDRI",197.97,84.5,"C650(MEDIUM)","Arrival","Current","1","ARMIX","LDRI"
"THY36J","LTBA","LDZA",1008.28,240.39999,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.E","LDZA"
"EZY23NQ","LIRN","LDSP",604.48,168.5,"A320(MEDIUM)","Arrival","Current","1","AIOSA","LDSP"
"JAF4JW","EBBR","LDDU",1156,298.39999,"B737(MEDIUM)","Arrival","Current","1","SABAD","LDDU"
"CSA7827","LDSP","LKMT",723.4,230.10001,"AT75(MEDIUM)","Departure","Current","1","OBUTI.2","LDSP"
"VTE989#3","LDDU","LYPG",361.12,54.7,"GLEX(MEDIUM)","Departure","Current","1","LYPG","LDDU"
"AOJ48L","LWSK","LDSB",176.32,159.39999,"C25A(MEDIUM)","Arrival","Current","1","RODON","LDSB"
"IBK8NC","EKCH","LDSP",975.1,242.3,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDSP"
"VLG1277","LDZD","LEBL",1415.4,127.4,"A320(MEDIUM)","Departure","Current","1","XAMIT","LDZD"
"IBK5690","LEBL","LDDU",466.98,168.7,"B738(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"CTN410","LDZA","EDDF",1091.02,81.3,"A319(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"VOE22RX","LFML","LDDU",473.13,172.39999,"B712(MEDIUM)","Arrival","Current","1","KATTI","LDDU"
"IBK480","EFHK","LDSP",840.78,222.89999,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"EZY45AN","LFLL","LDDU",1203.4,250.89999,"A319(MEDIUM)","Arrival","Current","1","TORPO","LDDU"
"ENT990","LFPG","LDDU",1412.27,330.70001,"B738(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"BUC8652#2","LDZD","LICC",1603.38,127.6,"MD82(MEDIUM)","Departure","Current","1","XAMIT","LDZD"
"LOT8242","LDRI","EETN",900.12,107.4,"CRJ9(MEDIUM)","Departure","Current","1","ALIVO","LDRI"
"CTN76H","LDSP","LSZH",943.42,249,"DH8D(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"SAS7497","ENZV","LDSP",670.43,209.10001,"B737(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"VLG1280","LEBL","LDZA",707.12,191.3,"A320(MEDIUM)","Arrival","Current","1","LABIN","LDZA"
"CTN374","LDZA","LEBL",907.93,114.1,"CRJ9(MEDIUM)","Departure","Current","1","PODET","LDZA"
"CSA6902","LOWW","LDSB",511.75,214.60001,"AT75(MEDIUM)","Arrival","Current","1","KOPRY","LDSB"
"SCW13X","EKCH","LDSP",968.33,228.8,"RJ1H(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"ASL20P","LYBE","LDZA",324.42,199.2,"AT72(MEDIUM)","Arrival","Current","1","TUVAR","LDZA"
"CTN422","LDSP","EDDL",1939.58,242.7,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"SCW5D","ESGG","LDSP",932.67,219.8,"RJ1H(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"ITE096#2","LKKB","LDZD",229.78,204.60001,"B350(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDZD"
"RWZ535","UUDD","LDPL",754.13,183.39999,"A321(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NE","LDPL"
"EZY38UA","EDDB","LDSP",795.27,220,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"NAX1904","ENGM","LDDU",1291.85,313.39999,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDDU"
"CTN4AT","LDZA","LOWW",411.27,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY43FU","EGKK","LDSP",759.57,211.8,"A320(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"JML200#2","LZIB","LDZD",447.63,194.10001,"E35L(MEDIUM)","Arrival","Current","1","KOPRY","LDZD"
"EWG45J","LDSP","EDDS",1939.58,242.7,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDSP"
"PHHRK#3","EHAM","LDZA",63.15,86.4,"P180(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"EZY59QA","EHAM","LDDU",1189.7,314.89999,"A320(MEDIUM)","Arrival","Current","1","BUSET","LDDU"
"JAF37D","EBBR","LDSB",896.92,260.10001,"E190(MEDIUM)","Arrival","Current","1","PEVAL","LDSB"
"CTN5NL","LDZA","EHAM",1091.02,81.3,"A319(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY84ER","EDDB","LDZD",489.48,161.39999,"A319(MEDIUM)","Arrival","Current","1","BUSET","LDZD"
"AUA682","LDZA","LOWW",406.75,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"TOM97Y","EGBB","LDPL",249.9,103.1,"B738(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"AUA733Y","LOWW","LDDU",889.07,269,"E190(MEDIUM)","Arrival","Current","1","KOPRY","LDDU"
"EZY26LM","LDSP","LIMC",2114.72,250.2,"A320(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"THY4JR","LDDU","LTBA",1128.27,76.9,"A320(MEDIUM)","Departure","Current","1","MOKUN","LDDU"
"CTN438P","LDSP","EDDM",873.22,226.60001,"DH8D(MEDIUM)","Departure","Current","1","ALIVO","LDSP"
"CTN320","LDZA","LKPR",411.27,81.2,"DH8D(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"EZY575T","EGSS","LDDU",1125.87,325.29999,"A319(MEDIUM)","Arrival","Current","1","PEVAL","LDDU"
"CTN480","LDZA","EKCH",750.22,81.1,"CRJ9(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"AVW712P","LDDU","LIMZ",1647.13,203.5,"B463(MEDIUM)","Departure","Current","1","VELUG","LDDU"
"SAS1835","ESGG","LDSP",763.93,209.10001,"A320(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
"9ADWA","LDZD","LIPR",247.97,118.6,"C25A(MEDIUM)","Departure","Current","1","TORPO","LDZD"
"SAS1831","ESSA","LDSP",924.93,229,"B738(MEDIUM)","Arrival","Current","1","KOPRY","LDSP"
"DCDTN#2","EDDR","LDZD",179.63,166.3,"C25C(MEDIUM)","Arrival","Current","1","LABIN","LDZD"
"NAX3AQ","ESSA","LDDU",1300.52,313.39999,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDDU"
"EWG2CT","LDZD","EDDT",1723.73,168,"A320(MEDIUM)","Departure","Current","1","BUSET","LDZD"
"FIN8KC","EFHK","LDDU",259.72,107.4,"A321(MEDIUM)","Arrival","Current","1","MOKUN","LDDU"
"EWG3YD","EDDL","LDPL",572.13,134,"A320(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDPL"
"EZS38CE","LDSP","LFSB",1975.32,250.89999,"A319(MEDIUM)","Departure","Current","1","ROTAR.1","LDSP"
"CTN4482","LDSP","EKCH",2006.43,226.8,"A320(MEDIUM)","Departure","Current","1","PETOV","LDSP"
"SAS2836","LDPL","EKCH",855.27,102.7,"CRJ9(MEDIUM)","Departure","Current","1","PEVAL","LDPL"
"EZY298U","EGSS","LDSP",781.63,211.60001,"A319(MEDIUM)","Arrival","Current","1","SABAD","LDSP"
"DLH3LL","EDDM","LDPL",158.67,103.1,"CRJ9(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"GSW2989","LDZD","LSZH",1609.02,169.5,"A319(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"IBK2604","EGKK","LDDU",1342.85,322.70001,"B738(MEDIUM)","Arrival","Current","1","LABIN","LDDU"
"TOM6AV","EGGD","LDPL",247.77,103.1,"B738(MEDIUM)","Arrival","Current","1","ROTAR","LDPL"
"SAS7335","ENZV","LDSP",1100.43,255.10001,"B738(MEDIUM)","Arrival","Current","1","OUTSIDE.FIR.NW","LDSP"
"EZY52PT","EGKK","LDDU",1107.28,322.79999,"A319(MEDIUM)","Arrival","Current","1","BUSET","LDDU"
"EZY31YA","LDSP","LIRN",1453.78,129.60001,"A320(MEDIUM)","Departure","Current","1","VELUG","LDSP"
"NAX4349","ESSA","LDZA",286.42,98.9,"B738(MEDIUM)","Arrival","Current","1","PETOV","LDZA"
"CTN25F","LDZA","LFPG",1324.82,114.9,"A319(MEDIUM)","Departure","Current","1","PODET","LDZA"
"VLG7724","LDDU","LEBL",1649.63,168.89999,"A320(MEDIUM)","Departure","Current","1","KATTI","LDDU"
"SAS4781","ENGM","LDPL",561.9,213.5,"CRJ9(MEDIUM)","Arrival","Current","1","KOPRY","LDPL"
"EWG3N","LDZD","EDDS",1730.57,169.3,"A320(MEDIUM)","Departure","Current","1","PEVAL.1","LDZD"
"CTN4437","EDDM","LDZA",251.23,87.8,"DH8D(MEDIUM)","Arrival","Current","1","ARGOM","LDZA"
"EZY28PN","LDSP","LFPG",1930.65,210.2,"A320(MEDIUM)","Departure","Current","1","BAXON","LDSP"
"CTN416","LDZA","EDDF",1131.48,81.2,"A320(MEDIUM)","Departure","Current","1","OBUTI","LDZA"
"NAX19X","ENGM","LDSP",797.42,209.10001,"B738(MEDIUM)","Arrival","Current","1","DARZA","LDSP"
