"Hour","Count","Airport","Category","Scenario"
5,3,"LDDU","Descending","Current"
6,6,"LDDU","Descending","Current"
7,6,"LDDU","Descending","Current"
8,5,"LDDU","Descending","Current"
9,11,"LDDU","Descending","Current"
10,5,"LDDU","Descending","Current"
11,5,"LDDU","Descending","Current"
12,4,"LDDU","Descending","Current"
13,8,"LDDU","Descending","Current"
14,5,"LDDU","Descending","Current"
15,4,"LDDU","Descending","Current"
16,5,"LDDU","Descending","Current"
17,6,"LDDU","Descending","Current"
18,8,"LDDU","Descending","Current"
19,3,"LDDU","Descending","Current"
20,2,"LDDU","Descending","Current"
21,1,"LDDU","Descending","Current"
22,1,"LDDU","Descending","Current"
4,1,"LDDU","GroundAccelerating","Current"
5,2,"LDDU","GroundAccelerating","Current"
6,2,"LDDU","GroundAccelerating","Current"
7,6,"LDDU","GroundAccelerating","Current"
8,10,"LDDU","GroundAccelerating","Current"
9,6,"LDDU","GroundAccelerating","Current"
10,3,"LDDU","GroundAccelerating","Current"
11,10,"LDDU","GroundAccelerating","Current"
12,5,"LDDU","GroundAccelerating","Current"
13,4,"LDDU","GroundAccelerating","Current"
14,10,"LDDU","GroundAccelerating","Current"
15,2,"LDDU","GroundAccelerating","Current"
16,4,"LDDU","GroundAccelerating","Current"
17,3,"LDDU","GroundAccelerating","Current"
18,6,"LDDU","GroundAccelerating","Current"
19,6,"LDDU","GroundAccelerating","Current"
20,6,"LDDU","GroundAccelerating","Current"
21,3,"LDDU","GroundAccelerating","Current"
14,1,"LDHD","Climbing","Current"
7,2,"LDLO","Descending","Current"
8,1,"LDLO","Descending","Current"
9,3,"LDLO","Descending","Current"
11,3,"LDLO","Descending","Current"
12,2,"LDLO","Descending","Current"
13,1,"LDLO","Descending","Current"
14,2,"LDLO","Descending","Current"
15,1,"LDLO","Descending","Current"
5,1,"LDLO","GroundAccelerating","Current"
6,2,"LDLO","GroundAccelerating","Current"
7,2,"LDLO","GroundAccelerating","Current"
8,1,"LDLO","GroundAccelerating","Current"
9,2,"LDLO","GroundAccelerating","Current"
10,2,"LDLO","GroundAccelerating","Current"
11,4,"LDLO","GroundAccelerating","Current"
13,2,"LDLO","GroundAccelerating","Current"
6,1,"LDOS","Descending","Current"
8,1,"LDOS","Descending","Current"
9,5,"LDOS","Descending","Current"
14,1,"LDOS","Descending","Current"
18,1,"LDOS","Descending","Current"
20,1,"LDOS","Descending","Current"
4,1,"LDOS","GroundAccelerating","Current"
7,1,"LDOS","GroundAccelerating","Current"
10,2,"LDOS","GroundAccelerating","Current"
11,3,"LDOS","GroundAccelerating","Current"
14,1,"LDOS","GroundAccelerating","Current"
19,1,"LDOS","GroundAccelerating","Current"
5,1,"LDPL","Descending","Current"
6,3,"LDPL","Descending","Current"
7,6,"LDPL","Descending","Current"
8,3,"LDPL","Descending","Current"
9,4,"LDPL","Descending","Current"
10,2,"LDPL","Descending","Current"
11,5,"LDPL","Descending","Current"
12,2,"LDPL","Descending","Current"
13,1,"LDPL","Descending","Current"
14,3,"LDPL","Descending","Current"
15,1,"LDPL","Descending","Current"
16,4,"LDPL","Descending","Current"
17,7,"LDPL","Descending","Current"
18,2,"LDPL","Descending","Current"
19,1,"LDPL","Descending","Current"
20,1,"LDPL","Descending","Current"
21,1,"LDPL","Descending","Current"
4,1,"LDPL","GroundAccelerating","Current"
7,2,"LDPL","GroundAccelerating","Current"
8,5,"LDPL","GroundAccelerating","Current"
9,5,"LDPL","GroundAccelerating","Current"
10,2,"LDPL","GroundAccelerating","Current"
11,4,"LDPL","GroundAccelerating","Current"
12,4,"LDPL","GroundAccelerating","Current"
13,4,"LDPL","GroundAccelerating","Current"
14,2,"LDPL","GroundAccelerating","Current"
16,2,"LDPL","GroundAccelerating","Current"
17,2,"LDPL","GroundAccelerating","Current"
18,6,"LDPL","GroundAccelerating","Current"
19,4,"LDPL","GroundAccelerating","Current"
20,3,"LDPL","GroundAccelerating","Current"
21,1,"LDPL","GroundAccelerating","Current"
6,1,"LDPV","Climbing","Current"
14,1,"LDPV","Climbing","Current"
11,2,"LDPV","Descending","Current"
12,1,"LDPV","Descending","Current"
15,1,"LDPV","Descending","Current"
19,1,"LDPV","Descending","Current"
5,2,"LDRI","Descending","Current"
6,1,"LDRI","Descending","Current"
7,1,"LDRI","Descending","Current"
9,2,"LDRI","Descending","Current"
10,1,"LDRI","Descending","Current"
13,1,"LDRI","Descending","Current"
14,1,"LDRI","Descending","Current"
16,2,"LDRI","Descending","Current"
17,2,"LDRI","Descending","Current"
0,1,"LDRI","GroundAccelerating","Current"
5,1,"LDRI","GroundAccelerating","Current"
6,1,"LDRI","GroundAccelerating","Current"
7,1,"LDRI","GroundAccelerating","Current"
8,5,"LDRI","GroundAccelerating","Current"
9,1,"LDRI","GroundAccelerating","Current"
