"Sector","Count","LateralConflictType","Scenario","Runway","Run"
"ACC_ZAGREB",7,"Crossing","Current","1","1"
"ACC_ZAGREB",4,"Crossing","Current","1","2"
"ACC_ZAGREB",7,"Crossing","Current","1","3"
"ACC_ZAGREB",7,"Crossing","Current","1","4"
"ACC_ZAGREB",2,"Crossing","Current","1","5"
"ACC_ZAGREB",7,"Crossing","Current","2","1"
"ACC_ZAGREB",7,"Crossing","Current","2","2"
"ACC_ZAGREB",5,"Crossing","Current","2","3"
"ACC_ZAGREB",10,"Crossing","Current","2","4"
"ACC_ZAGREB",7,"Crossing","Current","2","5"
"ACC_ZAGREB",3,"Crossing","PBN","1","1"
"ACC_ZAGREB",5,"Crossing","PBN","1","2"
"ACC_ZAGREB",6,"Crossing","PBN","1","3"
"ACC_ZAGREB",7,"Crossing","PBN","1","4"
"ACC_ZAGREB",5,"Crossing","PBN","1","5"
"ACC_ZAGREB",2,"Crossing","PBN","2","1"
"ACC_ZAGREB",6,"Crossing","PBN","2","2"
"ACC_ZAGREB",2,"Crossing","PBN","2","3"
"ACC_ZAGREB",6,"Crossing","PBN","2","4"
"ACC_ZAGREB",3,"Crossing","PBN","2","5"
"ACC_ZAGREB",27,"Opposite","Current","1","1"
"ACC_ZAGREB",25,"Opposite","Current","1","2"
"ACC_ZAGREB",18,"Opposite","Current","1","3"
"ACC_ZAGREB",20,"Opposite","Current","1","4"
"ACC_ZAGREB",17,"Opposite","Current","1","5"
"ACC_ZAGREB",45,"Opposite","Current","2","1"
"ACC_ZAGREB",43,"Opposite","Current","2","2"
"ACC_ZAGREB",47,"Opposite","Current","2","3"
"ACC_ZAGREB",38,"Opposite","Current","2","4"
"ACC_ZAGREB",42,"Opposite","Current","2","5"
"ACC_ZAGREB",25,"Opposite","PBN","1","1"
"ACC_ZAGREB",28,"Opposite","PBN","1","2"
"ACC_ZAGREB",13,"Opposite","PBN","1","3"
"ACC_ZAGREB",16,"Opposite","PBN","1","4"
"ACC_ZAGREB",25,"Opposite","PBN","1","5"
"ACC_ZAGREB",25,"Opposite","PBN","2","1"
"ACC_ZAGREB",27,"Opposite","PBN","2","2"
"ACC_ZAGREB",33,"Opposite","PBN","2","3"
"ACC_ZAGREB",17,"Opposite","PBN","2","4"
"ACC_ZAGREB",32,"Opposite","PBN","2","5"
"ACC_ZAGREB",5,"Same Track","Current","1","1"
"ACC_ZAGREB",4,"Same Track","Current","1","2"
"ACC_ZAGREB",12,"Same Track","Current","1","3"
"ACC_ZAGREB",11,"Same Track","Current","1","4"
"ACC_ZAGREB",5,"Same Track","Current","1","5"
"ACC_ZAGREB",10,"Same Track","Current","2","1"
"ACC_ZAGREB",6,"Same Track","Current","2","2"
"ACC_ZAGREB",7,"Same Track","Current","2","3"
"ACC_ZAGREB",11,"Same Track","Current","2","4"
"ACC_ZAGREB",6,"Same Track","Current","2","5"
"ACC_ZAGREB",9,"Same Track","PBN","1","1"
"ACC_ZAGREB",7,"Same Track","PBN","1","2"
"ACC_ZAGREB",6,"Same Track","PBN","1","3"
"ACC_ZAGREB",3,"Same Track","PBN","1","4"
"ACC_ZAGREB",6,"Same Track","PBN","1","5"
"ACC_ZAGREB",13,"Same Track","PBN","2","1"
"ACC_ZAGREB",8,"Same Track","PBN","2","2"
"ACC_ZAGREB",3,"Same Track","PBN","2","3"
"ACC_ZAGREB",6,"Same Track","PBN","2","4"
"ACC_ZAGREB",5,"Same Track","PBN","2","5"
"CTR_BRAC",2,"Crossing","Current","1","1"
"CTR_BRAC",1,"Crossing","Current","1","2"
"CTR_BRAC",4,"Crossing","Current","1","3"
"CTR_BRAC",1,"Crossing","Current","1","4"
"CTR_BRAC",1,"Crossing","Current","1","5"
"CTR_BRAC",1,"Crossing","Current","2","2"
"CTR_BRAC",2,"Crossing","Current","2","4"
"CTR_BRAC",3,"Crossing","Current","2","5"
"CTR_BRAC",3,"Crossing","PBN","1","2"
"CTR_BRAC",1,"Crossing","PBN","1","3"
"CTR_BRAC",2,"Crossing","PBN","1","4"
"CTR_BRAC",1,"Crossing","PBN","1","5"
"CTR_BRAC",2,"Crossing","PBN","2","1"
"CTR_BRAC",2,"Crossing","PBN","2","2"
"CTR_BRAC",2,"Crossing","PBN","2","3"
"CTR_BRAC",2,"Crossing","PBN","2","4"
"CTR_BRAC",2,"Crossing","PBN","2","5"
"CTR_BRAC",2,"Opposite","PBN","1","5"
"CTR_BRAC",1,"Same Track","Current","1","3"
"CTR_BRAC",1,"Same Track","Current","1","5"
"CTR_BRAC",1,"Same Track","PBN","2","3"
"CTR_DUBROVNIK",7,"Crossing","Current","1","1"
"CTR_DUBROVNIK",5,"Crossing","Current","1","2"
"CTR_DUBROVNIK",11,"Crossing","Current","1","3"
"CTR_DUBROVNIK",3,"Crossing","Current","1","4"
"CTR_DUBROVNIK",8,"Crossing","Current","1","5"
"CTR_DUBROVNIK",5,"Crossing","Current","2","1"
"CTR_DUBROVNIK",3,"Crossing","Current","2","2"
"CTR_DUBROVNIK",8,"Crossing","Current","2","3"
"CTR_DUBROVNIK",5,"Crossing","Current","2","4"
"CTR_DUBROVNIK",3,"Crossing","Current","2","5"
"CTR_DUBROVNIK",6,"Crossing","PBN","1","1"
"CTR_DUBROVNIK",10,"Crossing","PBN","1","2"
"CTR_DUBROVNIK",1,"Crossing","PBN","1","3"
"CTR_DUBROVNIK",7,"Crossing","PBN","1","4"
"CTR_DUBROVNIK",13,"Crossing","PBN","1","5"
"CTR_DUBROVNIK",3,"Crossing","PBN","2","1"
"CTR_DUBROVNIK",1,"Crossing","PBN","2","2"
"CTR_DUBROVNIK",2,"Crossing","PBN","2","3"
"CTR_DUBROVNIK",2,"Crossing","PBN","2","4"
"CTR_DUBROVNIK",13,"Opposite","Current","1","1"
"CTR_DUBROVNIK",16,"Opposite","Current","1","2"
"CTR_DUBROVNIK",17,"Opposite","Current","1","3"
"CTR_DUBROVNIK",14,"Opposite","Current","1","4"
"CTR_DUBROVNIK",9,"Opposite","Current","1","5"
"CTR_DUBROVNIK",13,"Opposite","Current","2","1"
"CTR_DUBROVNIK",13,"Opposite","Current","2","2"
"CTR_DUBROVNIK",14,"Opposite","Current","2","3"
"CTR_DUBROVNIK",15,"Opposite","Current","2","4"
"CTR_DUBROVNIK",14,"Opposite","Current","2","5"
"CTR_DUBROVNIK",11,"Opposite","PBN","1","1"
"CTR_DUBROVNIK",16,"Opposite","PBN","1","2"
"CTR_DUBROVNIK",11,"Opposite","PBN","1","3"
"CTR_DUBROVNIK",18,"Opposite","PBN","1","4"
"CTR_DUBROVNIK",17,"Opposite","PBN","1","5"
"CTR_DUBROVNIK",4,"Opposite","PBN","2","1"
"CTR_DUBROVNIK",14,"Opposite","PBN","2","2"
"CTR_DUBROVNIK",8,"Opposite","PBN","2","3"
"CTR_DUBROVNIK",5,"Opposite","PBN","2","4"
"CTR_DUBROVNIK",12,"Opposite","PBN","2","5"
"CTR_DUBROVNIK",11,"Same Track","Current","1","1"
"CTR_DUBROVNIK",12,"Same Track","Current","1","2"
"CTR_DUBROVNIK",9,"Same Track","Current","1","3"
"CTR_DUBROVNIK",12,"Same Track","Current","1","4"
"CTR_DUBROVNIK",9,"Same Track","Current","1","5"
"CTR_DUBROVNIK",4,"Same Track","Current","2","1"
"CTR_DUBROVNIK",4,"Same Track","Current","2","2"
"CTR_DUBROVNIK",3,"Same Track","Current","2","3"
"CTR_DUBROVNIK",5,"Same Track","Current","2","4"
"CTR_DUBROVNIK",2,"Same Track","Current","2","5"
"CTR_DUBROVNIK",4,"Same Track","PBN","1","1"
"CTR_DUBROVNIK",4,"Same Track","PBN","1","2"
"CTR_DUBROVNIK",5,"Same Track","PBN","1","3"
"CTR_DUBROVNIK",9,"Same Track","PBN","1","4"
"CTR_DUBROVNIK",10,"Same Track","PBN","1","5"
"CTR_DUBROVNIK",4,"Same Track","PBN","2","1"
"CTR_DUBROVNIK",3,"Same Track","PBN","2","2"
"CTR_DUBROVNIK",1,"Same Track","PBN","2","3"
"CTR_DUBROVNIK",1,"Same Track","PBN","2","4"
"CTR_DUBROVNIK",4,"Same Track","PBN","2","5"
"CTR_LOSINJ",2,"Crossing","Current","1","1"
"CTR_LOSINJ",1,"Crossing","Current","1","4"
"CTR_LOSINJ",1,"Crossing","Current","1","5"
"CTR_LOSINJ",1,"Crossing","Current","2","5"
"CTR_LOSINJ",1,"Crossing","PBN","1","5"
"CTR_LOSINJ",1,"Crossing","PBN","2","3"
"CTR_LOSINJ",2,"Crossing","PBN","2","4"
"CTR_LOSINJ",1,"Opposite","Current","1","1"
"CTR_LOSINJ",1,"Opposite","Current","1","2"
"CTR_LOSINJ",1,"Opposite","Current","1","4"
"CTR_LOSINJ",1,"Opposite","Current","2","2"
"CTR_LOSINJ",2,"Opposite","PBN","2","1"
"CTR_LOSINJ",1,"Opposite","PBN","2","4"
"CTR_PULA",17,"Crossing","Current","1","1"
"CTR_PULA",9,"Crossing","Current","1","2"
"CTR_PULA",12,"Crossing","Current","1","3"
"CTR_PULA",16,"Crossing","Current","1","4"
"CTR_PULA",6,"Crossing","Current","1","5"
"CTR_PULA",7,"Crossing","Current","2","1"
"CTR_PULA",3,"Crossing","Current","2","2"
"CTR_PULA",9,"Crossing","Current","2","3"
"CTR_PULA",4,"Crossing","Current","2","4"
"CTR_PULA",3,"Crossing","Current","2","5"
"CTR_PULA",16,"Crossing","PBN","1","1"
"CTR_PULA",21,"Crossing","PBN","1","2"
"CTR_PULA",11,"Crossing","PBN","1","3"
"CTR_PULA",11,"Crossing","PBN","1","4"
"CTR_PULA",13,"Crossing","PBN","1","5"
"CTR_PULA",10,"Crossing","PBN","2","1"
"CTR_PULA",4,"Crossing","PBN","2","2"
"CTR_PULA",5,"Crossing","PBN","2","3"
"CTR_PULA",7,"Crossing","PBN","2","4"
"CTR_PULA",4,"Crossing","PBN","2","5"
"CTR_PULA",10,"Opposite","Current","1","1"
"CTR_PULA",6,"Opposite","Current","1","2"
"CTR_PULA",8,"Opposite","Current","1","3"
"CTR_PULA",14,"Opposite","Current","1","4"
"CTR_PULA",13,"Opposite","Current","1","5"
"CTR_PULA",9,"Opposite","PBN","1","1"
