"Time","Count","Airport","Category","Scenario","Runway"
"00:10",0,"LDDU","Departures","Current","1"
"00:20",0,"LDDU","Departures","Current","1"
"00:30",0,"LDDU","Departures","Current","1"
"00:40",0,"LDDU","Departures","Current","1"
"00:50",0,"LDDU","Departures","Current","1"
"01:00",0,"LDDU","Departures","Current","1"
"01:10",0,"LDDU","Departures","Current","1"
"01:20",0,"LDDU","Departures","Current","1"
"01:30",0,"LDDU","Departures","Current","1"
"01:40",0,"LDDU","Departures","Current","1"
"01:50",0,"LDDU","Departures","Current","1"
"02:00",0,"LDDU","Departures","Current","1"
"02:10",0,"LDDU","Departures","Current","1"
"02:20",0,"LDDU","Departures","Current","1"
"02:30",0,"LDDU","Departures","Current","1"
"02:40",0,"LDDU","Departures","Current","1"
"02:50",0,"LDDU","Departures","Current","1"
"03:00",0,"LDDU","Departures","Current","1"
"03:10",0,"LDDU","Departures","Current","1"
"03:20",0,"LDDU","Departures","Current","1"
"03:30",0,"LDDU","Departures","Current","1"
"03:40",0,"LDDU","Departures","Current","1"
"03:50",0,"LDDU","Departures","Current","1"
"04:00",0,"LDDU","Departures","Current","1"
"04:10",0,"LDDU","Departures","Current","1"
"04:20",0,"LDDU","Departures","Current","1"
"04:30",0,"LDDU","Departures","Current","1"
"04:40",1,"LDDU","Departures","Current","1"
"04:50",1,"LDDU","Departures","Current","1"
"05:00",1,"LDDU","Departures","Current","1"
"05:10",1,"LDDU","Departures","Current","1"
"05:20",2,"LDDU","Departures","Current","1"
"05:30",2,"LDDU","Departures","Current","1"
"05:40",1,"LDDU","Departures","Current","1"
"05:50",1,"LDDU","Departures","Current","1"
"06:00",2,"LDDU","Departures","Current","1"
"06:10",2,"LDDU","Departures","Current","1"
"06:20",1,"LDDU","Departures","Current","1"
"06:30",1,"LDDU","Departures","Current","1"
"06:40",2,"LDDU","Departures","Current","1"
"06:50",2,"LDDU","Departures","Current","1"
"07:00",2,"LDDU","Departures","Current","1"
"07:10",2,"LDDU","Departures","Current","1"
"07:20",2,"LDDU","Departures","Current","1"
"07:30",4,"LDDU","Departures","Current","1"
"07:40",4,"LDDU","Departures","Current","1"
"07:50",5,"LDDU","Departures","Current","1"
"08:00",6,"LDDU","Departures","Current","1"
"08:10",7,"LDDU","Departures","Current","1"
"08:20",8,"LDDU","Departures","Current","1"
"08:30",9,"LDDU","Departures","Current","1"
"08:40",11,"LDDU","Departures","Current","1"
"08:50",10,"LDDU","Departures","Current","1"
"09:00",10,"LDDU","Departures","Current","1"
"09:10",9,"LDDU","Departures","Current","1"
"09:20",9,"LDDU","Departures","Current","1"
"09:30",6,"LDDU","Departures","Current","1"
"09:40",3,"LDDU","Departures","Current","1"
"09:50",6,"LDDU","Departures","Current","1"
"10:00",6,"LDDU","Departures","Current","1"
"10:10",7,"LDDU","Departures","Current","1"
"10:20",6,"LDDU","Departures","Current","1"
"10:30",6,"LDDU","Departures","Current","1"
"10:40",6,"LDDU","Departures","Current","1"
"10:50",3,"LDDU","Departures","Current","1"
"11:00",3,"LDDU","Departures","Current","1"
"11:10",4,"LDDU","Departures","Current","1"
"11:20",4,"LDDU","Departures","Current","1"
"11:30",6,"LDDU","Departures","Current","1"
"11:40",8,"LDDU","Departures","Current","1"
"11:50",10,"LDDU","Departures","Current","1"
"12:00",10,"LDDU","Departures","Current","1"
