"Sector","Count","Severity","Scenario","Runway","Run"
"ACC_ZAGREB",8,"1","Current","1","1"
"ACC_ZAGREB",8,"1","Current","1","2"
"ACC_ZAGREB",13,"1","Current","1","3"
"ACC_ZAGREB",13,"1","Current","1","4"
"ACC_ZAGREB",10,"1","Current","1","5"
"ACC_ZAGREB",13,"1","Current","2","1"
"ACC_ZAGREB",17,"1","Current","2","2"
"ACC_ZAGREB",18,"1","Current","2","3"
"ACC_ZAGREB",10,"1","Current","2","4"
"ACC_ZAGREB",17,"1","Current","2","5"
"ACC_ZAGREB",15,"1","PBN","1","1"
"ACC_ZAGREB",5,"1","PBN","1","2"
"ACC_ZAGREB",5,"1","PBN","1","3"
"ACC_ZAGREB",12,"1","PBN","1","4"
"ACC_ZAGREB",9,"1","PBN","1","5"
"ACC_ZAGREB",8,"1","PBN","2","1"
"ACC_ZAGREB",11,"1","PBN","2","2"
"ACC_ZAGREB",16,"1","PBN","2","3"
"ACC_ZAGREB",6,"1","PBN","2","4"
"ACC_ZAGREB",14,"1","PBN","2","5"
"ACC_ZAGREB",3,"2","Current","1","1"
"ACC_ZAGREB",4,"2","Current","1","2"
"ACC_ZAGREB",4,"2","Current","1","3"
"ACC_ZAGREB",10,"2","Current","1","4"
"ACC_ZAGREB",4,"2","Current","1","5"
"ACC_ZAGREB",14,"2","Current","2","1"
"ACC_ZAGREB",12,"2","Current","2","2"
"ACC_ZAGREB",9,"2","Current","2","3"
"ACC_ZAGREB",11,"2","Current","2","4"
"ACC_ZAGREB",8,"2","Current","2","5"
"ACC_ZAGREB",3,"2","PBN","1","1"
"ACC_ZAGREB",10,"2","PBN","1","2"
"ACC_ZAGREB",4,"2","PBN","1","3"
"ACC_ZAGREB",4,"2","PBN","1","4"
"ACC_ZAGREB",8,"2","PBN","1","5"
"ACC_ZAGREB",8,"2","PBN","2","1"
"ACC_ZAGREB",7,"2","PBN","2","2"
"ACC_ZAGREB",7,"2","PBN","2","3"
"ACC_ZAGREB",6,"2","PBN","2","4"
"ACC_ZAGREB",9,"2","PBN","2","5"
"ACC_ZAGREB",14,"3","Current","1","1"
"ACC_ZAGREB",7,"3","Current","1","2"
"ACC_ZAGREB",14,"3","Current","1","3"
"ACC_ZAGREB",8,"3","Current","1","4"
"ACC_ZAGREB",8,"3","Current","1","5"
"ACC_ZAGREB",17,"3","Current","2","1"
"ACC_ZAGREB",11,"3","Current","2","2"
"ACC_ZAGREB",15,"3","Current","2","3"
"ACC_ZAGREB",23,"3","Current","2","4"
"ACC_ZAGREB",15,"3","Current","2","5"
"ACC_ZAGREB",13,"3","PBN","1","1"
"ACC_ZAGREB",16,"3","PBN","1","2"
"ACC_ZAGREB",8,"3","PBN","1","3"
"ACC_ZAGREB",8,"3","PBN","1","4"
"ACC_ZAGREB",10,"3","PBN","1","5"
"ACC_ZAGREB",14,"3","PBN","2","1"
"ACC_ZAGREB",14,"3","PBN","2","2"
"ACC_ZAGREB",13,"3","PBN","2","3"
"ACC_ZAGREB",9,"3","PBN","2","4"
"ACC_ZAGREB",6,"3","PBN","2","5"
"ACC_ZAGREB",10,"4","Current","1","1"
"ACC_ZAGREB",11,"4","Current","1","2"
"ACC_ZAGREB",3,"4","Current","1","3"
"ACC_ZAGREB",4,"4","Current","1","4"
"ACC_ZAGREB",1,"4","Current","1","5"
"ACC_ZAGREB",15,"4","Current","2","1"
"ACC_ZAGREB",13,"4","Current","2","2"
"ACC_ZAGREB",13,"4","Current","2","3"
"ACC_ZAGREB",11,"4","Current","2","4"
"ACC_ZAGREB",10,"4","Current","2","5"
"ACC_ZAGREB",4,"4","PBN","1","1"
"ACC_ZAGREB",7,"4","PBN","1","2"
"ACC_ZAGREB",5,"4","PBN","1","3"
"ACC_ZAGREB",1,"4","PBN","1","4"
"ACC_ZAGREB",5,"4","PBN","1","5"
"ACC_ZAGREB",8,"4","PBN","2","1"
"ACC_ZAGREB",6,"4","PBN","2","2"
"ACC_ZAGREB",1,"4","PBN","2","3"
"ACC_ZAGREB",4,"4","PBN","2","4"
"ACC_ZAGREB",9,"4","PBN","2","5"
"ACC_ZAGREB",4,"5","Current","1","1"
"ACC_ZAGREB",3,"5","Current","1","2"
"ACC_ZAGREB",3,"5","Current","1","3"
"ACC_ZAGREB",3,"5","Current","1","4"
"ACC_ZAGREB",1,"5","Current","1","5"
"ACC_ZAGREB",2,"5","Current","2","1"
"ACC_ZAGREB",3,"5","Current","2","2"
"ACC_ZAGREB",3,"5","Current","2","3"
"ACC_ZAGREB",4,"5","Current","2","4"
"ACC_ZAGREB",5,"5","Current","2","5"
"ACC_ZAGREB",2,"5","PBN","1","1"
"ACC_ZAGREB",2,"5","PBN","1","2"
"ACC_ZAGREB",3,"5","PBN","1","3"
