"Count","Airport","Category","Scenario","Runway"
88,"LDDU","Arrivals","Current","1"
89,"LDDU","Departures","Current","1"
15,"LDLO","Arrivals","Current","1"
16,"LDLO","Departures","Current","1"
10,"LDOS","Arrivals","Current","1"
9,"LDOS","Departures","Current","1"
47,"LDPL","Arrivals","Current","1"
47,"LDPL","Departures","Current","1"
1,"LDPM","Arrivals","Current","1"
3,"LDPV","Arrivals","Current","1"
13,"LDRI","Arrivals","Current","1"
18,"LDRI","Departures","Current","1"
19,"LDSB","Arrivals","Current","1"
17,"LDSB","Departures","Current","1"
104,"LDSP","Arrivals","Current","1"
107,"LDSP","Departures","Current","1"
1,"LDSS","Arrivals","Current","1"
1,"LDST","Arrivals","Current","1"
2,"LDVA","Arrivals","Current","1"
75,"LDZA","Arrivals","Current","1"
73,"LDZA","Departures","Current","1"
48,"LDZD","Arrivals","Current","1"
50,"LDZD","Departures","Current","1"
1,"LDZL","Arrivals","Current","1"
2,"LIPQ","Arrivals","Current","1"
13,"LJLJ","Arrivals","Current","1"
1,"LJMB","Arrivals","Current","1"
4,"LJPZ","Arrivals","Current","1"
9,"LOWG","Arrivals","Current","1"
1,"LQBI","Arrivals","Current","1"
3,"LQBK","Arrivals","Current","1"
2,"LQMO","Arrivals","Current","1"
1,"LQSA","Arrivals","Current","1"
7,"LYPG","Arrivals","Current","1"
9,"LYTV","Arrivals","Current","1"
88,"LDDU","Arrivals","Current","2"
89,"LDDU","Departures","Current","2"
15,"LDLO","Arrivals","Current","2"
16,"LDLO","Departures","Current","2"
10,"LDOS","Arrivals","Current","2"
9,"LDOS","Departures","Current","2"
47,"LDPL","Arrivals","Current","2"
47,"LDPL","Departures","Current","2"
1,"LDPM","Arrivals","Current","2"
3,"LDPV","Arrivals","Current","2"
13,"LDRI","Arrivals","Current","2"
18,"LDRI","Departures","Current","2"
19,"LDSB","Arrivals","Current","2"
17,"LDSB","Departures","Current","2"
104,"LDSP","Arrivals","Current","2"
107,"LDSP","Departures","Current","2"
1,"LDSS","Arrivals","Current","2"
1,"LDST","Arrivals","Current","2"
2,"LDVA","Arrivals","Current","2"
75,"LDZA","Arrivals","Current","2"
73,"LDZA","Departures","Current","2"
48,"LDZD","Arrivals","Current","2"
50,"LDZD","Departures","Current","2"
1,"LDZL","Arrivals","Current","2"
2,"LIPQ","Arrivals","Current","2"
13,"LJLJ","Arrivals","Current","2"
1,"LJMB","Arrivals","Current","2"
4,"LJPZ","Arrivals","Current","2"
9,"LOWG","Arrivals","Current","2"
1,"LQBI","Arrivals","Current","2"
3,"LQBK","Arrivals","Current","2"
2,"LQMO","Arrivals","Current","2"
1,"LQSA","Arrivals","Current","2"
7,"LYPG","Arrivals","Current","2"
9,"LYTV","Arrivals","Current","2"
88,"LDDU","Arrivals","PBN","1"
89,"LDDU","Departures","PBN","1"
15,"LDLO","Arrivals","PBN","1"
16,"LDLO","Departures","PBN","1"
10,"LDOS","Arrivals","PBN","1"
9,"LDOS","Departures","PBN","1"
47,"LDPL","Arrivals","PBN","1"
47,"LDPL","Departures","PBN","1"
1,"LDPM","Arrivals","PBN","1"
3,"LDPV","Arrivals","PBN","1"
13,"LDRI","Arrivals","PBN","1"
18,"LDRI","Departures","PBN","1"
19,"LDSB","Arrivals","PBN","1"
17,"LDSB","Departures","PBN","1"
104,"LDSP","Arrivals","PBN","1"
107,"LDSP","Departures","PBN","1"
1,"LDSS","Arrivals","PBN","1"
1,"LDST","Arrivals","PBN","1"
2,"LDVA","Arrivals","PBN","1"
75,"LDZA","Arrivals","PBN","1"
73,"LDZA","Departures","PBN","1"
48,"LDZD","Arrivals","PBN","1"
50,"LDZD","Departures","PBN","1"
1,"LDZL","Arrivals","PBN","1"
2,"LIPQ","Arrivals","PBN","1"
13,"LJLJ","Arrivals","PBN","1"
1,"LJMB","Arrivals","PBN","1"
4,"LJPZ","Arrivals","PBN","1"
9,"LOWG","Arrivals","PBN","1"
1,"LQBI","Arrivals","PBN","1"
3,"LQBK","Arrivals","PBN","1"
2,"LQMO","Arrivals","PBN","1"
1,"LQSA","Arrivals","PBN","1"
7,"LYPG","Arrivals","PBN","1"
9,"LYTV","Arrivals","PBN","1"
88,"LDDU","Arrivals","PBN","2"
89,"LDDU","Departures","PBN","2"
15,"LDLO","Arrivals","PBN","2"
16,"LDLO","Departures","PBN","2"
10,"LDOS","Arrivals","PBN","2"
9,"LDOS","Departures","PBN","2"
47,"LDPL","Arrivals","PBN","2"
47,"LDPL","Departures","PBN","2"
1,"LDPM","Arrivals","PBN","2"
3,"LDPV","Arrivals","PBN","2"
13,"LDRI","Arrivals","PBN","2"
18,"LDRI","Departures","PBN","2"
19,"LDSB","Arrivals","PBN","2"
17,"LDSB","Departures","PBN","2"
104,"LDSP","Arrivals","PBN","2"
107,"LDSP","Departures","PBN","2"
1,"LDSS","Arrivals","PBN","2"
1,"LDST","Arrivals","PBN","2"
2,"LDVA","Arrivals","PBN","2"
75,"LDZA","Arrivals","PBN","2"
73,"LDZA","Departures","PBN","2"
48,"LDZD","Arrivals","PBN","2"
50,"LDZD","Departures","PBN","2"
1,"LDZL","Arrivals","PBN","2"
2,"LIPQ","Arrivals","PBN","2"
13,"LJLJ","Arrivals","PBN","2"
1,"LJMB","Arrivals","PBN","2"
4,"LJPZ","Arrivals","PBN","2"
9,"LOWG","Arrivals","PBN","2"
1,"LQBI","Arrivals","PBN","2"
3,"LQBK","Arrivals","PBN","2"
2,"LQMO","Arrivals","PBN","2"
1,"LQSA","Arrivals","PBN","2"
7,"LYPG","Arrivals","PBN","2"
9,"LYTV","Arrivals","PBN","2"
480,"All Airports","Arrivals","Current","1"
426,"All Airports","Departures","Current","1"
480,"All Airports","Arrivals","PBN","1"
426,"All Airports","Departures","PBN","1"
480,"All Airports","Arrivals","Current","2"
426,"All Airports","Departures","Current","2"
480,"All Airports","Arrivals","PBN","2"
426,"All Airports","Departures","PBN","2"
419,"All Major Airports","Arrivals","Current","1"
426,"All Major Airports","Departures","Current","1"
419,"All Major Airports","Arrivals","PBN","1"
426,"All Major Airports","Departures","PBN","1"
419,"All Major Airports","Arrivals","Current","2"
426,"All Major Airports","Departures","Current","2"
419,"All Major Airports","Arrivals","PBN","2"
426,"All Major Airports","Departures","PBN","2"
177,"LDDU","Arrival and Departures","Current","1"
31,"LDLO","Arrival and Departures","Current","1"
19,"LDOS","Arrival and Departures","Current","1"
94,"LDPL","Arrival and Departures","Current","1"
1,"LDPM","Arrival and Departures","Current","1"
3,"LDPV","Arrival and Departures","Current","1"
31,"LDRI","Arrival and Departures","Current","1"
36,"LDSB","Arrival and Departures","Current","1"
211,"LDSP","Arrival and Departures","Current","1"
1,"LDSS","Arrival and Departures","Current","1"
1,"LDST","Arrival and Departures","Current","1"
2,"LDVA","Arrival and Departures","Current","1"
148,"LDZA","Arrival and Departures","Current","1"
98,"LDZD","Arrival and Departures","Current","1"
1,"LDZL","Arrival and Departures","Current","1"
2,"LIPQ","Arrival and Departures","Current","1"
13,"LJLJ","Arrival and Departures","Current","1"
1,"LJMB","Arrival and Departures","Current","1"
4,"LJPZ","Arrival and Departures","Current","1"
9,"LOWG","Arrival and Departures","Current","1"
1,"LQBI","Arrival and Departures","Current","1"
3,"LQBK","Arrival and Departures","Current","1"
2,"LQMO","Arrival and Departures","Current","1"
1,"LQSA","Arrival and Departures","Current","1"
7,"LYPG","Arrival and Departures","Current","1"
9,"LYTV","Arrival and Departures","Current","1"
177,"LDDU","Arrival and Departures","PBN","1"
31,"LDLO","Arrival and Departures","PBN","1"
19,"LDOS","Arrival and Departures","PBN","1"
94,"LDPL","Arrival and Departures","PBN","1"
1,"LDPM","Arrival and Departures","PBN","1"
3,"LDPV","Arrival and Departures","PBN","1"
31,"LDRI","Arrival and Departures","PBN","1"
36,"LDSB","Arrival and Departures","PBN","1"
211,"LDSP","Arrival and Departures","PBN","1"
1,"LDSS","Arrival and Departures","PBN","1"
1,"LDST","Arrival and Departures","PBN","1"
2,"LDVA","Arrival and Departures","PBN","1"
148,"LDZA","Arrival and Departures","PBN","1"
98,"LDZD","Arrival and Departures","PBN","1"
1,"LDZL","Arrival and Departures","PBN","1"
2,"LIPQ","Arrival and Departures","PBN","1"
13,"LJLJ","Arrival and Departures","PBN","1"
1,"LJMB","Arrival and Departures","PBN","1"
4,"LJPZ","Arrival and Departures","PBN","1"
