"Airport","TrackMiles","RoutingType","Waypoint","Scenario","Runway"
"LDDU",123.8,"Arrival","AIOSA","Current","1"
"LDSP",168.5,"Arrival","AIOSA","Current","1"
"LDZA",294.89999,"Arrival","AIOSA","Current","1"
"LDZD",468.8,"Arrival","AIOSA","Current","1"
"LDDU",148.5,"Arrival","AIOSA","PBN","1"
"LDSP",180.3,"Arrival","AIOSA","PBN","1"
"LDZA",298.10001,"Arrival","AIOSA","PBN","1"
"LDZD",472.7,"Arrival","AIOSA","PBN","1"
"LDDU",123.8,"Arrival","AIOSA","Current","2"
"LDSP",168.5,"Arrival","AIOSA","Current","2"
"LDZA",294.89999,"Arrival","AIOSA","Current","2"
"LDZD",468.8,"Arrival","AIOSA","Current","2"
"LDDU",148.5,"Arrival","AIOSA","PBN","2"
"LDSP",180.3,"Arrival","AIOSA","PBN","2"
"LDZA",298.10001,"Arrival","AIOSA","PBN","2"
"LDZD",472.7,"Arrival","AIOSA","PBN","2"
"LDDU",117.2,"Departure","AIOSA","Current","1"
"LDDU",117.8,"Departure","AIOSA","PBN","1"
"LDDU",117.2,"Departure","AIOSA","Current","2"
"LDDU",117.8,"Departure","AIOSA","PBN","2"
"LDDU",327.5,"Departure","ALIVO","Current","1"
"LDPL",620.8,"Departure","ALIVO","Current","1"
"LDRI",988.5,"Departure","ALIVO","Current","1"
"LDSP",681.90002,"Departure","ALIVO","Current","1"
"LDDU",330.10001,"Departure","ALIVO","PBN","1"
"LDPL",618.6,"Departure","ALIVO","PBN","1"
"LDRI",1034.1,"Departure","ALIVO","PBN","1"
"LDSP",716.79999,"Departure","ALIVO","PBN","1"
"LDDU",327.5,"Departure","ALIVO","Current","2"
"LDPL",620.8,"Departure","ALIVO","Current","2"
"LDRI",988.5,"Departure","ALIVO","Current","2"
"LDSP",681.90002,"Departure","ALIVO","Current","2"
"LDDU",330.10001,"Departure","ALIVO","PBN","2"
"LDPL",618.6,"Departure","ALIVO","PBN","2"
"LDRI",1034.1,"Departure","ALIVO","PBN","2"
"LDSP",716.79999,"Departure","ALIVO","PBN","2"
"LDZA",2008.6,"Arrival","ARGOM","Current","1"
"LDZA",2034.7,"Arrival","ARGOM","PBN","1"
"LDZA",2008.6,"Arrival","ARGOM","Current","2"
"LDZA",2034.7,"Arrival","ARGOM","PBN","2"
"LDDU",312.39999,"Arrival","ARMIX","Current","1"
"LDRI",862.89999,"Arrival","ARMIX","Current","1"
"LDSP",224.2,"Arrival","ARMIX","Current","1"
"LDDU",313,"Arrival","ARMIX","PBN","1"
"LDRI",897.5,"Arrival","ARMIX","PBN","1"
"LDSP",229.2,"Arrival","ARMIX","PBN","1"
"LDDU",312.39999,"Arrival","ARMIX","Current","2"
"LDRI",862.89999,"Arrival","ARMIX","Current","2"
"LDSP",224.2,"Arrival","ARMIX","Current","2"
"LDDU",313,"Arrival","ARMIX","PBN","2"
"LDRI",897.5,"Arrival","ARMIX","PBN","2"
"LDSP",229.2,"Arrival","ARMIX","PBN","2"
"LDDU",508.89999,"Arrival","BAREB","Current","1"
"LDSP",255.60001,"Arrival","BAREB","Current","1"
"LDDU",506.79998,"Arrival","BAREB","PBN","1"
"LDSP",260.89999,"Arrival","BAREB","PBN","1"
"LDDU",508.89999,"Arrival","BAREB","Current","2"
"LDSP",255.60001,"Arrival","BAREB","Current","2"
