"Sector","Count","VerticalConflictType","Scenario","Runway","Run"
"ACC_ZAGREB",5,"Both Cruising","Current","1","1"
"ACC_ZAGREB",3,"Both Cruising","Current","1","2"
"ACC_ZAGREB",2,"Both Cruising","Current","1","3"
"ACC_ZAGREB",2,"Both Cruising","Current","1","4"
"ACC_ZAGREB",1,"Both Cruising","Current","1","5"
"ACC_ZAGREB",3,"Both Cruising","Current","2","1"
"ACC_ZAGREB",5,"Both Cruising","Current","2","3"
"ACC_ZAGREB",1,"Both Cruising","Current","2","4"
"ACC_ZAGREB",4,"Both Cruising","Current","2","5"
"ACC_ZAGREB",4,"Both Cruising","PBN","1","2"
"ACC_ZAGREB",2,"Both Cruising","PBN","1","3"
"ACC_ZAGREB",1,"Both Cruising","PBN","1","4"
"ACC_ZAGREB",7,"Both Cruising","PBN","1","5"
"ACC_ZAGREB",2,"Both Cruising","PBN","2","1"
"ACC_ZAGREB",1,"Both Cruising","PBN","2","2"
"ACC_ZAGREB",1,"Both Cruising","PBN","2","3"
"ACC_ZAGREB",1,"Both Cruising","PBN","2","4"
"ACC_ZAGREB",18,"Both In Vertical","Current","1","1"
"ACC_ZAGREB",14,"Both In Vertical","Current","1","2"
"ACC_ZAGREB",12,"Both In Vertical","Current","1","3"
"ACC_ZAGREB",13,"Both In Vertical","Current","1","4"
"ACC_ZAGREB",8,"Both In Vertical","Current","1","5"
"ACC_ZAGREB",34,"Both In Vertical","Current","2","1"
"ACC_ZAGREB",31,"Both In Vertical","Current","2","2"
"ACC_ZAGREB",37,"Both In Vertical","Current","2","3"
"ACC_ZAGREB",34,"Both In Vertical","Current","2","4"
"ACC_ZAGREB",31,"Both In Vertical","Current","2","5"
"ACC_ZAGREB",10,"Both In Vertical","PBN","1","1"
"ACC_ZAGREB",11,"Both In Vertical","PBN","1","2"
"ACC_ZAGREB",9,"Both In Vertical","PBN","1","3"
"ACC_ZAGREB",14,"Both In Vertical","PBN","1","4"
"ACC_ZAGREB",14,"Both In Vertical","PBN","1","5"
"ACC_ZAGREB",18,"Both In Vertical","PBN","2","1"
"ACC_ZAGREB",22,"Both In Vertical","PBN","2","2"
"ACC_ZAGREB",14,"Both In Vertical","PBN","2","3"
"ACC_ZAGREB",13,"Both In Vertical","PBN","2","4"
"ACC_ZAGREB",18,"Both In Vertical","PBN","2","5"
"ACC_ZAGREB",16,"One In Vertical","Current","1","1"
"ACC_ZAGREB",16,"One In Vertical","Current","1","2"
"ACC_ZAGREB",23,"One In Vertical","Current","1","3"
"ACC_ZAGREB",23,"One In Vertical","Current","1","4"
"ACC_ZAGREB",15,"One In Vertical","Current","1","5"
"ACC_ZAGREB",25,"One In Vertical","Current","2","1"
"ACC_ZAGREB",25,"One In Vertical","Current","2","2"
"ACC_ZAGREB",17,"One In Vertical","Current","2","3"
"ACC_ZAGREB",24,"One In Vertical","Current","2","4"
"ACC_ZAGREB",20,"One In Vertical","Current","2","5"
"ACC_ZAGREB",27,"One In Vertical","PBN","1","1"
"ACC_ZAGREB",25,"One In Vertical","PBN","1","2"
"ACC_ZAGREB",14,"One In Vertical","PBN","1","3"
"ACC_ZAGREB",11,"One In Vertical","PBN","1","4"
"ACC_ZAGREB",15,"One In Vertical","PBN","1","5"
"ACC_ZAGREB",20,"One In Vertical","PBN","2","1"
"ACC_ZAGREB",18,"One In Vertical","PBN","2","2"
"ACC_ZAGREB",23,"One In Vertical","PBN","2","3"
"ACC_ZAGREB",15,"One In Vertical","PBN","2","4"
"ACC_ZAGREB",22,"One In Vertical","PBN","2","5"
"CTR_BRAC",2,"Both In Vertical","Current","1","1"
"CTR_BRAC",1,"Both In Vertical","Current","1","2"
"CTR_BRAC",1,"Both In Vertical","Current","1","5"
"CTR_BRAC",1,"Both In Vertical","Current","2","2"
"CTR_BRAC",1,"Both In Vertical","Current","2","4"
"CTR_BRAC",2,"Both In Vertical","Current","2","5"
"CTR_BRAC",1,"Both In Vertical","PBN","1","2"
"CTR_BRAC",1,"Both In Vertical","PBN","1","4"
"CTR_BRAC",1,"Both In Vertical","PBN","1","5"
"CTR_BRAC",1,"Both In Vertical","PBN","2","1"
"CTR_BRAC",1,"Both In Vertical","PBN","2","2"
"CTR_BRAC",1,"Both In Vertical","PBN","2","3"
"CTR_BRAC",1,"Both In Vertical","PBN","2","4"
"CTR_BRAC",1,"Both In Vertical","PBN","2","5"
"CTR_BRAC",5,"One In Vertical","Current","1","3"
"CTR_BRAC",1,"One In Vertical","Current","1","4"
"CTR_BRAC",1,"One In Vertical","Current","1","5"
"CTR_BRAC",1,"One In Vertical","Current","2","4"
"CTR_BRAC",1,"One In Vertical","Current","2","5"
"CTR_BRAC",2,"One In Vertical","PBN","1","2"
"CTR_BRAC",1,"One In Vertical","PBN","1","3"
"CTR_BRAC",1,"One In Vertical","PBN","1","4"
"CTR_BRAC",2,"One In Vertical","PBN","1","5"
"CTR_BRAC",1,"One In Vertical","PBN","2","1"
"CTR_BRAC",1,"One In Vertical","PBN","2","2"
"CTR_BRAC",2,"One In Vertical","PBN","2","3"
"CTR_BRAC",1,"One In Vertical","PBN","2","4"
"CTR_BRAC",1,"One In Vertical","PBN","2","5"
"CTR_DUBROVNIK",1,"Both Cruising","Current","1","1"
"CTR_DUBROVNIK",2,"Both Cruising","Current","1","2"
"CTR_DUBROVNIK",1,"Both Cruising","Current","1","3"
"CTR_DUBROVNIK",1,"Both Cruising","Current","1","4"
"CTR_DUBROVNIK",3,"Both Cruising","Current","1","5"
"CTR_DUBROVNIK",1,"Both Cruising","Current","2","1"
"CTR_DUBROVNIK",1,"Both Cruising","PBN","1","1"
"CTR_DUBROVNIK",2,"Both Cruising","PBN","1","2"
"CTR_DUBROVNIK",1,"Both Cruising","PBN","1","5"
"CTR_DUBROVNIK",1,"Both Cruising","PBN","2","5"
"CTR_DUBROVNIK",4,"Both In Vertical","Current","1","1"
"CTR_DUBROVNIK",1,"Both In Vertical","Current","1","2"
"CTR_DUBROVNIK",3,"Both In Vertical","Current","1","3"
"CTR_DUBROVNIK",1,"Both In Vertical","Current","1","5"
"CTR_DUBROVNIK",1,"Both In Vertical","Current","2","1"
"CTR_DUBROVNIK",2,"Both In Vertical","Current","2","2"
"CTR_DUBROVNIK",1,"Both In Vertical","Current","2","3"
"CTR_DUBROVNIK",1,"Both In Vertical","Current","2","4"
"CTR_DUBROVNIK",1,"Both In Vertical","PBN","1","1"
"CTR_DUBROVNIK",1,"Both In Vertical","PBN","1","2"
"CTR_DUBROVNIK",1,"Both In Vertical","PBN","1","5"
