"Sector","Count","VerticalSeverity","Scenario","Runway"
"ACC_ZAGREB",25,"3","Current","1"
"ACC_ZAGREB",25,"3","Current","2"
"ACC_ZAGREB",22,"3","PBN","1"
"ACC_ZAGREB",22,"3","PBN","2"
"ACC_ZAGREB",2,"4","Current","1"
"ACC_ZAGREB",2,"4","Current","2"
"ACC_ZAGREB",3,"4","PBN","1"
"ACC_ZAGREB",3,"4","PBN","2"
"ACC_ZAGREB",4,"5","Current","1"
"ACC_ZAGREB",4,"5","Current","2"
"ACC_ZAGREB",2,"5","PBN","1"
"ACC_ZAGREB",2,"5","PBN","2"
"ACC_ZAGREB",1,"6","Current","1"
"ACC_ZAGREB",1,"6","Current","2"
"ACC_ZAGREB",1,"6","PBN","1"
"ACC_ZAGREB",1,"6","PBN","2"
"CTR_BRAC",1,"5","Current","1"
"CTR_BRAC",1,"5","Current","2"
"CTR_BRAC",1,"5","PBN","1"
"CTR_BRAC",1,"5","PBN","2"
"CTR_DUBROVNIK",1,"3","Current","1"
"CTR_DUBROVNIK",1,"3","Current","2"
"CTR_DUBROVNIK",2,"3","PBN","1"
"CTR_DUBROVNIK",2,"3","PBN","2"
"CTR_DUBROVNIK",1,"4","Current","1"
"CTR_DUBROVNIK",1,"4","Current","2"
"CTR_DUBROVNIK",2,"4","PBN","1"
"CTR_DUBROVNIK",2,"4","PBN","2"
"CTR_DUBROVNIK",3,"5","Current","1"
"CTR_DUBROVNIK",3,"5","Current","2"
"CTR_DUBROVNIK",11,"5","PBN","1"
"CTR_DUBROVNIK",11,"5","PBN","2"
"CTR_PULA",5,"3","Current","1"
"CTR_PULA",5,"3","Current","2"
"CTR_PULA",3,"3","PBN","1"
"CTR_PULA",3,"3","PBN","2"
"CTR_PULA",1,"4","Current","1"
"CTR_PULA",1,"4","Current","2"
"CTR_PULA",2,"4","PBN","1"
"CTR_PULA",2,"4","PBN","2"
"CTR_PULA",2,"5","Current","1"
"CTR_PULA",2,"5","Current","2"
"CTR_PULA",2,"5","PBN","1"
"CTR_PULA",2,"5","PBN","2"
"CTR_RIJEKA",1,"3","Current","1"
"CTR_RIJEKA",1,"3","Current","2"
"CTR_RIJEKA",1,"3","PBN","1"
"CTR_RIJEKA",1,"3","PBN","2"
"CTR_RIJEKA",1,"5","Current","1"
"CTR_RIJEKA",1,"5","Current","2"
"CTR_RIJEKA",2,"5","PBN","1"
"CTR_RIJEKA",2,"5","PBN","2"
"CTR_RIJEKA",1,"6","Current","1"
"CTR_RIJEKA",1,"6","Current","2"
"CTR_SPLIT",3,"3","Current","1"
"CTR_SPLIT",3,"3","Current","2"
"CTR_SPLIT",1,"3","PBN","1"
"CTR_SPLIT",1,"3","PBN","2"
"CTR_SPLIT",2,"5","Current","1"
"CTR_SPLIT",2,"5","Current","2"
"CTR_SPLIT",2,"5","PBN","1"
"CTR_SPLIT",2,"5","PBN","2"
"CTR_ZADAR",1,"3","Current","1"
"CTR_ZADAR",1,"3","Current","2"
"CTR_ZADAR",1,"3","PBN","1"
"CTR_ZADAR",1,"3","PBN","2"
"CTR_ZAGREB",1,"3","Current","1"
"CTR_ZAGREB",1,"3","Current","2"
"CTR_ZAGREB",2,"3","PBN","1"
"CTR_ZAGREB",2,"3","PBN","2"
"CTR_ZAGREB",1,"4","Current","1"
"CTR_ZAGREB",1,"4","Current","2"
"LQSB_FIR",2,"3","Current","1"
"LQSB_FIR",2,"3","Current","2"
"LQSB_FIR",1,"3","PBN","1"
"LQSB_FIR",1,"3","PBN","2"
"OUTSIDE_FIR_E",3,"3","Current","1"
"OUTSIDE_FIR_E",3,"3","Current","2"
"OUTSIDE_FIR_E",3,"3","PBN","1"
"OUTSIDE_FIR_E",3,"3","PBN","2"
"OUTSIDE_FIR_E",1,"6","Current","1"
"OUTSIDE_FIR_E",1,"6","Current","2"
"OUTSIDE_FIR_E",1,"6","PBN","1"
"OUTSIDE_FIR_E",1,"6","PBN","2"
"OUTSIDE_FIR_N",13,"3","Current","1"
"OUTSIDE_FIR_N",13,"3","Current","2"
"OUTSIDE_FIR_N",11,"3","PBN","1"
"OUTSIDE_FIR_N",11,"3","PBN","2"
"OUTSIDE_FIR_N",3,"4","Current","1"
"OUTSIDE_FIR_N",3,"4","Current","2"
"OUTSIDE_FIR_N",2,"4","PBN","1"
"OUTSIDE_FIR_N",2,"4","PBN","2"
"OUTSIDE_FIR_N",1,"5","Current","1"
