"Time","Sector","RollingHourlyWorkload","PercentRollingHourlyWorkload","RollingHourlyEntries","RollingHourlyIFR","RollingHourlyVFR","RollingHourlyMIL","Scenario","Runway","Run"
"00:00:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"00:10:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"00:20:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"00:30:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"00:40:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"00:50:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:00:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:10:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:20:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:30:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:40:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"01:50:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"02:00:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"02:10:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"02:20:00","TMA_DUBROVNIK",5,0,0,0,0,0,"Current","1","1"
"02:30:00","TMA_DUBROVNIK",45,1,1,1,0,0,"Current","1","1"
"02:40:00","TMA_DUBROVNIK",80,2,1,1,0,0,"Current","1","1"
"02:50:00","TMA_DUBROVNIK",80,2,1,1,0,0,"Current","1","1"
"03:00:00","TMA_DUBROVNIK",80,2,1,1,0,0,"Current","1","1"
"03:10:00","TMA_DUBROVNIK",80,2,1,1,0,0,"Current","1","1"
"03:20:00","TMA_DUBROVNIK",75,2,1,1,0,0,"Current","1","1"
"03:30:00","TMA_DUBROVNIK",35,1,0,0,0,0,"Current","1","1"
"03:40:00","TMA_DUBROVNIK",0,0,0,0,0,0,"Current","1","1"
"03:50:00","TMA_DUBROVNIK",5,0,0,0,0,0,"Current","1","1"
"04:00:00","TMA_DUBROVNIK",95,3,1,1,0,0,"Current","1","1"
"04:10:00","TMA_DUBROVNIK",130,4,2,2,0,0,"Current","1","1"
"04:20:00","TMA_DUBROVNIK",155,4,2,2,0,0,"Current","1","1"
"04:30:00","TMA_DUBROVNIK",160,4,2,2,0,0,"Current","1","1"
"04:40:00","TMA_DUBROVNIK",197,5,3,3,0,0,"Current","1","1"
"04:50:00","TMA_DUBROVNIK",262,7,4,4,0,0,"Current","1","1"
"05:00:00","TMA_DUBROVNIK",172,5,3,3,0,0,"Current","1","1"
"05:10:00","TMA_DUBROVNIK",147,4,2,2,0,0,"Current","1","1"
"05:20:00","TMA_DUBROVNIK",187,5,4,4,0,0,"Current","1","1"
"05:30:00","TMA_DUBROVNIK",274,8,5,5,0,0,"Current","1","1"
"05:40:00","TMA_DUBROVNIK",356,10,6,6,0,0,"Current","1","1"
"05:50:00","TMA_DUBROVNIK",439,12,6,6,0,0,"Current","1","1"
"06:00:00","TMA_DUBROVNIK",554,15,8,8,0,0,"Current","1","1"
"06:10:00","TMA_DUBROVNIK",729,20,10,10,0,0,"Current","1","1"
"06:20:00","TMA_DUBROVNIK",811,23,11,11,0,0,"Current","1","1"
"06:30:00","TMA_DUBROVNIK",956,27,10,10,0,0,"Current","1","1"
"06:40:00","TMA_DUBROVNIK",991,28,10,10,0,0,"Current","1","1"
"06:50:00","TMA_DUBROVNIK",1114,31,12,12,0,0,"Current","1","1"
"07:00:00","TMA_DUBROVNIK",1181,33,12,12,0,0,"Current","1","1"
"07:10:00","TMA_DUBROVNIK",1401,39,12,12,0,0,"Current","1","1"
"07:20:00","TMA_DUBROVNIK",1641,46,13,13,0,0,"Current","1","1"
"07:30:00","TMA_DUBROVNIK",1790,50,15,15,0,0,"Current","1","1"
"07:40:00","TMA_DUBROVNIK",1909,53,18,18,0,0,"Current","1","1"
"07:50:00","TMA_DUBROVNIK",1801,50,17,17,0,0,"Current","1","1"
"08:00:00","TMA_DUBROVNIK",1970,55,18,18,0,0,"Current","1","1"
"08:10:00","TMA_DUBROVNIK",1968,55,20,20,0,0,"Current","1","1"
"08:20:00","TMA_DUBROVNIK",1984,55,20,20,0,0,"Current","1","1"
"08:30:00","TMA_DUBROVNIK",1950,54,21,21,0,0,"Current","1","1"
