"Time","Callsign","Origin","Destination","FuelBurn","TrackMiles","AircraftType","FlightType","Routing","Waypoint","RoutingType","Scenario"
"00:57:59","CSA6791","LDRI","LZKZ",440.07,165.3,"AT45(MEDIUM)","IFR","LDRI_KOPRY","KOPRY","Departure","Current"
"04:00:05","CSA7826","LKMT","LDSP",576.08,222.89999,"AT75(MEDIUM)","IFR","KOPRY_LDSP.1","KOPRY","Arrival","Current"
"04:04:45","VLG127G","LEBL","LDZD",486.47,166.3,"A320(MEDIUM)","IFR","LABIN_LDZD","LABIN","Arrival","Current"
"04:31:43","QTR3QJ","OTHH","LDZA",822.62,234.39999,"A320(MEDIUM)","IFR","OUTSIDE.FIR.E_LDZA","OUTSIDE FIR E","Arrival","Current"
"04:41:13","CTN3T","LDPL","LDZD",357.18,77.6,"DH8D(MEDIUM)","IFR","LDPL_LDZD",NA,"Domestic","Current"
"04:42:36","ADR46H","LJLJ","LGIR",2331.58,304.10001,"A319(MEDIUM)","IFR","LJLJ_NILKU","NILKU","Departure","Current"
"04:58:10","EZY59WT","LIMC","LDSP",795.08,225.7,"A320(MEDIUM)","IFR","LABIN_LDSP","LABIN","Arrival","Current"
"05:01:09","EWG9RB","EDDS","LDSP",885.25,218.39999,"A319(MEDIUM)","IFR","SABAD_LDSP","SABAD","Arrival","Current"
"05:03:50","TDR811","LDOS","LDZA",252.55,137.60001,"L410(MEDIUM)","IFR","LDOS_LDZA.1",NA,"Domestic","Current"
"05:06:43","CTN341","LQSA","LDZA",650.07,165.2,"DH8D(MEDIUM)","IFR","LQSA_LDZA",NA,"Domestic","Current"
"05:08:42","CTN5H","LDSP","LDZA",1315.03,157.7,"A319(MEDIUM)","IFR","LDSP_LDZA",NA,"Domestic","Current"
"05:09:28","EZS69DH","LFSB","LDSP",963.08,211.5,"A319(MEDIUM)","IFR","SABAD_LDSP","SABAD","Arrival","Current"
"05:11:28","THY3RA","LTBA","LDDU",196.18,96.6,"A320(MEDIUM)","IFR","MOKUN_LDDU","MOKUN","Arrival","Current"
"05:17:55","CTN6B","LDDU","LDZA",1655.92,238.60001,"A320(MEDIUM)","IFR","LDDU_LDZA.2",NA,"Domestic","Current"
"05:20:54","BUC8651","LICC","LDZD",1089.65,233.8,"MD82(MEDIUM)","IFR","AIOSA_LDZD","AIOSA","Arrival","Current"
"05:23:04","LOT8241","EETN","LDRI",138.13,84.6,"CRJ9(MEDIUM)","IFR","ARMIX_LDRI","ARMIX","Arrival","Current"
"05:24:37","EWG6VH","EDDT","LDZD",424.9,154.2,"A320(MEDIUM)","IFR","SABAD_LDZD","SABAD","Arrival","Current"
"05:25:18","DLH8LA","LDZA","EDDF",750.22,81.1,"CRJ9(MEDIUM)","IFR","LDZA_OBUTI","OBUTI","Departure","Current"
"05:26:45","CTN1W","LDZA","LDSP",650.87,159.60001,"DH8D(MEDIUM)","IFR","LDZA_LDSP",NA,"Domestic","Current"
