"Sector","Severity","Scenario","freq"
"ACC_ZAGREB","0","Current",15
"ACC_ZAGREB","0","PBN",15
"ACC_ZAGREB","1","Current",5
"ACC_ZAGREB","1","PBN",5
"ACC_ZAGREB","2","Current",1
"ACC_ZAGREB","2","PBN",1
"ACC_ZAGREB","3","Current",4
"ACC_ZAGREB","3","PBN",4
"ACC_ZAGREB","4","Current",7
"ACC_ZAGREB","4","PBN",7
"ACC_ZAGREB","5","Current",2
"ACC_ZAGREB","5","PBN",2
"ACC_ZAGREB","6","Current",1
"ACC_ZAGREB","6","PBN",1
"CTR_BRAC","5","Current",2
"CTR_BRAC","5","PBN",2
"CTR_DUBROVNIK","0","Current",9
"CTR_DUBROVNIK","0","PBN",9
"CTR_DUBROVNIK","1","Current",6
"CTR_DUBROVNIK","1","PBN",6
"CTR_DUBROVNIK","2","Current",8
"CTR_DUBROVNIK","2","PBN",8
"CTR_DUBROVNIK","3","Current",11
"CTR_DUBROVNIK","3","PBN",11
"CTR_DUBROVNIK","4","Current",2
"CTR_DUBROVNIK","4","PBN",2
"CTR_DUBROVNIK","5","Current",1
"CTR_DUBROVNIK","5","PBN",1
"CTR_DUBROVNIK","6","Current",4
"CTR_DUBROVNIK","6","PBN",4
"CTR_LOSINJ","1","Current",1
"CTR_LOSINJ","1","PBN",1
"CTR_LOSINJ","2","Current",1
"CTR_LOSINJ","2","PBN",1
"CTR_PULA","0","Current",5
"CTR_PULA","0","PBN",5
"CTR_PULA","1","Current",2
"CTR_PULA","1","PBN",2
"CTR_PULA","2","Current",2
"CTR_PULA","2","PBN",2
"CTR_PULA","3","Current",1
"CTR_PULA","3","PBN",1
"CTR_PULA","4","Current",1
"CTR_PULA","4","PBN",1
"CTR_PULA","5","Current",3
"CTR_PULA","5","PBN",3
"CTR_RIJEKA","2","Current",1
"CTR_RIJEKA","2","PBN",1
"CTR_RIJEKA","3","Current",1
"CTR_RIJEKA","3","PBN",1
"CTR_SPLIT","0","Current",1
"CTR_SPLIT","0","PBN",1
"CTR_SPLIT","1","Current",1
"CTR_SPLIT","1","PBN",1
"CTR_SPLIT","4","Current",1
"CTR_SPLIT","4","PBN",1
"CTR_ZADAR","0","Current",1
"CTR_ZADAR","0","PBN",1
"CTR_ZADAR","1","Current",1
"CTR_ZADAR","1","PBN",1
"CTR_ZADAR","2","Current",2
"CTR_ZADAR","2","PBN",2
"CTR_ZADAR","3","Current",1
"CTR_ZADAR","3","PBN",1
"CTR_ZAGREB","0","Current",3
"CTR_ZAGREB","0","PBN",3
"CTR_ZAGREB","1","Current",1
"CTR_ZAGREB","1","PBN",1
"CTR_ZAGREB","2","Current",2
"CTR_ZAGREB","2","PBN",2
"CTR_ZAGREB","3","Current",2
"CTR_ZAGREB","3","PBN",2
"FIC_ZAGREB","5","Current",1
"FIC_ZAGREB","5","PBN",1
"FIC_ZAGREB","6","Current",1
"FIC_ZAGREB","6","PBN",1
"OUTSIDE_FIR_E","0","Current",1
"OUTSIDE_FIR_E","0","PBN",1
"OUTSIDE_FIR_E","6","Current",1
"OUTSIDE_FIR_E","6","PBN",1
"OUTSIDE_FIR_N","0","Current",7
"OUTSIDE_FIR_N","0","PBN",7
"OUTSIDE_FIR_N","1","Current",4
"OUTSIDE_FIR_N","1","PBN",4
"OUTSIDE_FIR_N","2","Current",3
"OUTSIDE_FIR_N","2","PBN",3
"OUTSIDE_FIR_N","3","Current",5
"OUTSIDE_FIR_N","3","PBN",5
"OUTSIDE_FIR_N","4","Current",2
"OUTSIDE_FIR_N","4","PBN",2
"OUTSIDE_FIR_N","5","Current",2
"OUTSIDE_FIR_N","5","PBN",2
"OUTSIDE_FIR_W","0","Current",1
"OUTSIDE_FIR_W","0","PBN",1
"OUTSIDE_FIR_W","6","Current",1
"OUTSIDE_FIR_W","6","PBN",1
"TMA_DUBROVNIK","0","Current",3
"TMA_DUBROVNIK","0","PBN",3
"TMA_DUBROVNIK","1","Current",3
"TMA_DUBROVNIK","1","PBN",3
"TMA_DUBROVNIK","2","Current",1
"TMA_DUBROVNIK","2","PBN",1
"TMA_DUBROVNIK","3","Current",6
"TMA_DUBROVNIK","3","PBN",6
"TMA_DUBROVNIK","4","Current",2
"TMA_DUBROVNIK","4","PBN",2
"TMA_DUBROVNIK","5","Current",2
"TMA_DUBROVNIK","5","PBN",2
"TMA_PULA","0","Current",6
"TMA_PULA","0","PBN",6
"TMA_PULA","1","Current",4
"TMA_PULA","1","PBN",4
"TMA_PULA","2","Current",3
"TMA_PULA","2","PBN",3
"TMA_PULA","3","Current",6
"TMA_PULA","3","PBN",6
"TMA_PULA","5","Current",2
"TMA_PULA","5","PBN",2
"TMA_SPLIT","0","Current",19
"TMA_SPLIT","0","PBN",19
"TMA_SPLIT","1","Current",6
"TMA_SPLIT","1","PBN",6
"TMA_SPLIT","2","Current",1
"TMA_SPLIT","2","PBN",1
"TMA_SPLIT","3","Current",3
"TMA_SPLIT","3","PBN",3
"TMA_SPLIT","4","Current",1
"TMA_SPLIT","4","PBN",1
"TMA_SPLIT","5","Current",2
"TMA_SPLIT","5","PBN",2
"TMA_ZADAR","0","Current",4
"TMA_ZADAR","0","PBN",4
"TMA_ZADAR","1","Current",3
"TMA_ZADAR","1","PBN",3
"TMA_ZADAR","3","Current",2
"TMA_ZADAR","3","PBN",2
"TMA_ZADAR","4","Current",1
"TMA_ZADAR","4","PBN",1
"TMA_ZADAR","5","Current",1
"TMA_ZADAR","5","PBN",1
"TMA_ZAGREB","0","Current",6
"TMA_ZAGREB","0","PBN",6
"TMA_ZAGREB","1","Current",3
"TMA_ZAGREB","1","PBN",3
"TMA_ZAGREB","2","Current",4
"TMA_ZAGREB","2","PBN",4
"TMA_ZAGREB","3","Current",10
"TMA_ZAGREB","3","PBN",10
"TMA_ZAGREB","4","Current",2
"TMA_ZAGREB","4","PBN",2
"All Sectors","0","Current",81
"All Sectors","1","Current",40
"All Sectors","2","Current",29
"All Sectors","3","Current",52
"All Sectors","4","Current",19
"All Sectors","5","Current",18
"All Sectors","6","Current",8
"All Sectors","0","PBN",81
"All Sectors","1","PBN",40
"All Sectors","2","PBN",29
"All Sectors","3","PBN",52
"All Sectors","4","PBN",19
"All Sectors","5","PBN",18
"All Sectors","6","PBN",8
"All TMA","0","Current",38
"All TMA","1","Current",19
"All TMA","2","Current",9
"All TMA","3","Current",27
"All TMA","4","Current",6
"All TMA","5","Current",7
"All TMA","0","PBN",38
"All TMA","1","PBN",19
"All TMA","2","PBN",9
"All TMA","3","PBN",27
"All TMA","4","PBN",6
"All TMA","5","PBN",7
